datagolf_rank,dg_id,dg_skill_estimate,owgr_rank,primary_tour,last_updated
168,20954,-0.0230322053312406,116,KFT,2025-05-05 12:16:46 UTC
169,27996,-0.0242008856514255,250,PGA,2025-05-05 12:16:46 UTC
170,32319,-0.0373088776688772,501,AM,2025-05-05 12:16:46 UTC
171,25601,-0.0413657869615574,129,EURO,2025-05-05 12:16:46 UTC
172,12669,-0.0424501875217145,501,LIV,2025-05-05 12:16:46 UTC
173,28159,-0.0426385034435472,162,PGA,2025-05-05 12:16:46 UTC
174,24962,-0.0432291606372559,219,KFT,2025-05-05 12:16:46 UTC
175,13997,-0.0667184679670138,178,PGA,2025-05-05 12:16:46 UTC
176,19840,-0.074547060975453,223,PGA,2025-05-05 12:16:46 UTC
177,15475,-0.0805922135889537,154,PGA,2025-05-05 12:16:46 UTC
178,14698,-0.081875654893917,221,PGA,2025-05-05 12:16:46 UTC
179,17538,-0.0828185925833857,74,PGA,2025-05-05 12:16:46 UTC
180,14007,-0.096223220837419,290,PGA,2025-05-05 12:16:46 UTC
181,14987,-0.0975690397291975,260,EURO,2025-05-05 12:16:46 UTC
182,22087,-0.0992562751034802,242,PGA,2025-05-05 12:16:46 UTC
183,26657,-0.101922086347836,163,PGA,2025-05-05 12:16:46 UTC
184,23482,-0.102921901597226,190,PGA,2025-05-05 12:16:46 UTC
185,24342,-0.114068915502606,137,PGA,2025-05-05 12:16:46 UTC
186,19872,-0.11741022783591,97,PGA,2025-05-05 12:16:46 UTC
187,7334,-0.121069501400411,501,LIV,2025-05-05 12:16:46 UTC
188,21362,-0.123779865410543,153,EURO,2025-05-05 12:16:46 UTC
189,32055,-0.124106144561177,130,KFT,2025-05-05 12:16:46 UTC
190,21688,-0.14751024224663,158,KFT,2025-05-05 12:16:46 UTC
191,20727,-0.148516326090772,220,EURO,2025-05-05 12:16:46 UTC
192,14016,-0.161084123938059,138,EURO,2025-05-05 12:16:46 UTC
193,23656,-0.164028634025556,168,PGA,2025-05-05 12:16:46 UTC
194,11049,-0.16469901222647,380,PGA,2025-05-05 12:16:46 UTC
195,26991,-0.172104234878263,232,EURO,2025-05-05 12:16:46 UTC
196,22985,-0.176926524081879,278,KFT,2025-05-05 12:16:46 UTC
197,14559,-0.182022815795412,420,ASA,2025-05-05 12:16:46 UTC
198,17032,-0.183595830542728,127,PGA,2025-05-05 12:16:46 UTC
199,21646,-0.186697441553883,181,EURO,2025-05-05 12:16:46 UTC
200,12337,-0.186716438351878,501,LIV,2025-05-05 12:16:46 UTC
201,19190,-0.188254087957845,195,PGA,2025-05-05 12:16:46 UTC
202,24304,-0.19365534568705,113,PGA,2025-05-05 12:16:46 UTC
203,22736,-0.19367311926154,225,PGA,2025-05-05 12:16:46 UTC
204,10943,-0.19815093049532,200,PGA,2025-05-05 12:16:46 UTC
205,22465,-0.205664630407546,197,EURO,2025-05-05 12:16:46 UTC
