dg_id,driving_accuracy,driving_distance,sg_approach,sg_around_green,sg_off_the_tee,sg_putting,sg_total,last_updated
15229,-0.007,5.08,-0.137,-0.171,0.276,0.044,0.012,2025-05-05 17:26:31 UTC
23482,0.032,-7.789,0.208,0.081,-0.065,-0.212,0.012,2025-05-05 17:26:31 UTC
12808,0.046,-3.315,0.036,-0.256,0.158,0.071,0.008,2025-05-05 17:26:31 UTC
16602,0.004,6.134,-0.009,-0.01,0.341,-0.316,0.006,2025-05-05 17:26:31 UTC
13508,-0.039,11.335,0.084,-0.129,0.273,-0.225,0.004,2025-05-05 17:26:31 UTC
13965,0.004,-1.173,-0.056,0.119,-0.084,0.024,0.002,2025-05-05 17:26:31 UTC
5768,-0.003,2.067,0.277,0.004,0.131,-0.412,-0.0,2025-05-05 17:26:31 UTC
19872,-0.043,5.682,-0.188,0.084,-0.162,0.264,-0.002,2025-05-05 17:26:31 UTC
11357,-0.147,13.346,0.131,0.151,-0.381,0.091,-0.008,2025-05-05 17:26:31 UTC
21646,0.077,-4.502,-0.011,-0.138,0.271,-0.14,-0.018,2025-05-05 17:26:31 UTC
25601,-0.016,2.514,-0.044,-0.013,0.068,-0.032,-0.021,2025-05-05 17:26:31 UTC
27164,0.028,-5.412,0.002,0.009,-0.164,0.125,-0.028,2025-05-05 17:26:31 UTC
21362,-0.021,10.726,0.111,-0.475,0.387,-0.057,-0.034,2025-05-05 17:26:31 UTC
15475,0.042,-6.56,-0.039,0.186,-0.078,-0.105,-0.037,2025-05-05 17:26:31 UTC
14987,0.063,-6.671,0.015,-0.031,0.147,-0.18,-0.048,2025-05-05 17:26:31 UTC
18628,0.069,-19.815,0.068,0.112,-0.434,0.204,-0.049,2025-05-05 17:26:31 UTC
13764,0.035,-9.117,0.092,0.056,-0.064,-0.134,-0.051,2025-05-05 17:26:31 UTC
17538,-0.03,2.24,-0.105,0.126,-0.191,0.112,-0.058,2025-05-05 17:26:31 UTC
10201,0.002,2.049,-0.374,0.039,0.129,0.142,-0.064,2025-05-05 17:26:31 UTC
20727,-0.029,9.226,-0.437,-0.093,0.341,0.122,-0.067,2025-05-05 17:26:31 UTC
21688,-0.026,3.793,-0.446,0.07,-0.005,0.31,-0.072,2025-05-05 17:26:31 UTC
18761,-0.054,11.623,-0.147,-0.141,0.219,-0.01,-0.08,2025-05-05 17:26:31 UTC
19190,0.003,-1.686,-0.195,-0.005,-0.044,0.161,-0.083,2025-05-05 17:26:31 UTC
32055,0.012,5.203,-0.019,-0.115,0.229,-0.181,-0.085,2025-05-05 17:26:31 UTC
12669,0.033,-4.893,-0.055,0.129,0.003,-0.184,-0.106,2025-05-05 17:26:31 UTC
19840,0.018,-7.625,-0.124,0.003,-0.195,0.209,-0.106,2025-05-05 17:26:31 UTC
26991,0.041,-4.444,-0.266,-0.027,0.069,0.101,-0.123,2025-05-05 17:26:31 UTC
23656,0.068,-5.773,-0.023,-0.233,0.204,-0.074,-0.127,2025-05-05 17:26:31 UTC
15470,-0.038,0.725,-0.331,0.327,-0.421,0.294,-0.131,2025-05-05 17:26:31 UTC
25002,-0.002,-3.396,-0.074,0.041,-0.123,0.012,-0.144,2025-05-05 17:26:31 UTC
11460,0.004,-13.372,0.089,0.28,-0.674,0.155,-0.151,2025-05-05 17:26:31 UTC
6986,0.073,-15.312,-0.168,0.082,-0.247,0.175,-0.157,2025-05-05 17:26:31 UTC
19477,-0.032,5.257,-0.073,-0.12,0.077,-0.051,-0.167,2025-05-05 17:26:31 UTC
20522,-0.021,6.52,-0.127,-0.047,0.256,-0.254,-0.172,2025-05-05 17:26:31 UTC
23733,0.029,2.297,-0.081,-0.046,0.318,-0.366,-0.174,2025-05-05 17:26:31 UTC
22985,0.018,-0.843,0.119,-0.138,0.11,-0.266,-0.175,2025-05-05 17:26:31 UTC
18187,0.057,-4.652,-0.258,-0.09,0.231,-0.079,-0.196,2025-05-05 17:26:31 UTC
30463,-0.045,10.109,-0.171,-0.256,0.117,0.113,-0.198,2025-05-05 17:26:31 UTC
14007,0.018,-5.639,0.101,-0.152,-0.082,-0.07,-0.204,2025-05-05 17:26:31 UTC
26660,-0.02,8.615,0.044,-0.231,0.224,-0.257,-0.219,2025-05-05 17:26:31 UTC
24185,-0.018,8.093,-0.119,-0.006,0.376,-0.471,-0.22,2025-05-05 17:26:31 UTC
11019,0.029,4.98,0.127,-0.127,0.357,-0.586,-0.229,2025-05-05 17:26:31 UTC
14559,0.008,-1.239,-0.287,-0.124,-0.001,0.182,-0.23,2025-05-05 17:26:31 UTC
14775,0.064,-17.027,-0.059,-0.057,-0.401,0.277,-0.241,2025-05-05 17:26:31 UTC
15651,-0.013,6.721,-0.261,-0.271,0.233,0.056,-0.244,2025-05-05 17:26:31 UTC
28159,-0.019,-2.094,-0.013,0.136,-0.413,0.046,-0.244,2025-05-05 17:26:31 UTC
18635,-0.014,-5.641,-0.151,0.211,-0.417,0.11,-0.246,2025-05-05 17:26:31 UTC
12337,-0.002,2.683,-0.203,-0.141,0.008,0.069,-0.267,2025-05-05 17:26:31 UTC
20766,0.028,-1.013,-0.216,-0.31,0.241,0.005,-0.281,2025-05-05 17:26:31 UTC
10943,0.007,-6.6,0.078,-0.0,-0.262,-0.102,-0.285,2025-05-05 17:26:31 UTC
14975,0.107,-14.992,0.097,0.048,-0.084,-0.35,-0.289,2025-05-05 17:26:31 UTC
12177,0.004,-9.249,-0.046,0.071,-0.372,0.046,-0.3,2025-05-05 17:26:31 UTC
7960,-0.013,6.973,-0.385,-0.052,0.23,-0.108,-0.315,2025-05-05 17:26:31 UTC
24497,-0.002,1.816,-0.345,-0.012,-0.068,0.098,-0.327,2025-05-05 17:26:31 UTC
22608,-0.011,2.798,-0.386,-0.118,0.085,0.091,-0.328,2025-05-05 17:26:31 UTC
14016,0.009,-1.976,-0.136,0.073,-0.193,-0.075,-0.33,2025-05-05 17:26:31 UTC
11049,-0.013,-1.873,-0.093,0.265,-0.383,-0.127,-0.337,2025-05-05 17:26:31 UTC
7033,0.04,-11.38,-0.212,0.004,-0.074,-0.055,-0.337,2025-05-05 17:26:31 UTC
11451,0.08,-13.123,-0.248,0.126,-0.156,-0.06,-0.339,2025-05-05 17:26:31 UTC
16395,0.086,-9.694,0.017,-0.159,0.051,-0.27,-0.361,2025-05-05 17:26:31 UTC
17357,-0.008,-0.942,-0.325,0.075,-0.059,-0.054,-0.363,2025-05-05 17:26:31 UTC
15330,0.012,-0.828,-0.04,-0.267,0.102,-0.168,-0.373,2025-05-05 17:26:31 UTC
16757,-0.042,3.965,-0.147,-0.024,-0.039,-0.165,-0.375,2025-05-05 17:26:31 UTC
22002,-0.047,3.94,-0.322,-0.067,-0.138,0.151,-0.375,2025-05-05 17:26:31 UTC
12522,0.002,-2.665,-0.131,-0.059,-0.057,-0.131,-0.378,2025-05-05 17:26:31 UTC
15326,0.033,-7.274,-0.118,-0.047,-0.11,-0.114,-0.39,2025-05-05 17:26:31 UTC
19421,-0.015,8.157,0.018,-0.233,0.199,-0.375,-0.391,2025-05-05 17:26:31 UTC
9842,0.071,-5.417,-0.144,-0.159,0.221,-0.317,-0.398,2025-05-05 17:26:31 UTC
19865,-0.019,4.852,-0.015,-0.223,0.088,-0.249,-0.399,2025-05-05 17:26:31 UTC
23542,-0.024,17.323,-0.433,-0.429,0.505,-0.046,-0.402,2025-05-05 17:26:31 UTC
11952,0.03,-7.26,0.14,0.028,-0.012,-0.56,-0.404,2025-05-05 17:26:31 UTC
21236,-0.066,0.527,-0.127,0.072,-0.296,-0.06,-0.41,2025-05-05 17:26:31 UTC
7452,0.06,-13.243,-0.271,0.186,-0.173,-0.164,-0.422,2025-05-05 17:26:31 UTC
20448,0.026,-5.265,-0.126,-0.056,-0.071,-0.173,-0.426,2025-05-05 17:26:31 UTC
12359,-0.036,1.033,-0.007,0.071,-0.262,-0.232,-0.43,2025-05-05 17:26:31 UTC
