seasonIDs,roundNums,seriesLetters,seriesLinks,bottomSeedIDs,bottomSeedWins,topSeedIDs,topSeedWins
19401941,2,D,/schedule/playoff-series/1941/series-d/blackhawks-vs-redwings,16,0,17,2
19401941,1,B,/schedule/playoff-series/1941/series-b/rangers-vs-redwings,3,1,17,2
19401941,1,C,/schedule/playoff-series/1941/series-c/canadiens-vs-blackhawks,8,1,16,2
19401941,3,I,/schedule/playoff-series/1941/series-i/redwings-vs-bruins,17,0,6,4
19411942,2,A,/schedule/playoff-series/1942/series-a/rangers-vs-mapleleafs,3,2,10,4
19411942,2,D,/schedule/playoff-series/1942/series-d/redwings-vs-bruins,17,2,6,0
19411942,1,B,/schedule/playoff-series/1942/series-b/bruins-vs-blackhawks,6,2,16,1
19411942,1,C,/schedule/playoff-series/1942/series-c/canadiens-vs-redwings,8,1,17,2
19411942,3,I,/schedule/playoff-series/1942/series-i/redwings-vs-mapleleafs,17,3,10,4
19421943,1,A,/schedule/playoff-series/1943/series-a/mapleleafs-vs-redwings,10,2,17,4
19421943,1,B,/schedule/playoff-series/1943/series-b/canadiens-vs-bruins,8,1,6,4
19421943,2,I,/schedule/playoff-series/1943/series-i/bruins-vs-redwings,6,0,17,4
19431944,1,A,/schedule/playoff-series/1944/series-a/mapleleafs-vs-canadiens,10,1,8,4
19431944,1,B,/schedule/playoff-series/1944/series-b/blackhawks-vs-redwings,16,4,17,1
19431944,2,I,/schedule/playoff-series/1944/series-i/blackhawks-vs-canadiens,16,0,8,4
19441945,1,A,/schedule/playoff-series/1945/series-a/mapleleafs-vs-canadiens,10,4,8,2
19441945,1,B,/schedule/playoff-series/1945/series-b/bruins-vs-redwings,6,3,17,4
19441945,2,I,/schedule/playoff-series/1945/series-i/mapleleafs-vs-redwings,10,4,17,3
19451946,1,A,/schedule/playoff-series/1946/series-a/blackhawks-vs-canadiens,16,0,8,4
19451946,1,B,/schedule/playoff-series/1946/series-b/redwings-vs-bruins,17,1,6,4
19451946,2,I,/schedule/playoff-series/1946/series-i/bruins-vs-canadiens,6,1,8,4
19461947,1,A,/schedule/playoff-series/1947/series-a/bruins-vs-canadiens,6,1,8,4
19461947,1,B,/schedule/playoff-series/1947/series-b/redwings-vs-mapleleafs,17,1,10,4
19461947,2,I,/schedule/playoff-series/1947/series-i/mapleleafs-vs-canadiens,10,4,8,2
19471948,1,A,/schedule/playoff-series/1948/series-a/bruins-vs-mapleleafs,6,1,10,4
19471948,1,B,/schedule/playoff-series/1948/series-b/rangers-vs-redwings,3,2,17,4
19471948,2,I,/schedule/playoff-series/1948/series-i/redwings-vs-mapleleafs,17,0,10,4
19481949,1,A,/schedule/playoff-series/1949/series-a/canadiens-vs-redwings,8,3,17,4
19481949,1,B,/schedule/playoff-series/1949/series-b/mapleleafs-vs-bruins,10,4,6,1
19481949,2,I,/schedule/playoff-series/1949/series-i/mapleleafs-vs-redwings,10,4,17,0
19491950,1,A,/schedule/playoff-series/1950/series-a/mapleleafs-vs-redwings,10,3,17,4
19491950,1,B,/schedule/playoff-series/1950/series-b/canadiens-vs-rangers,8,1,3,4
19491950,2,I,/schedule/playoff-series/1950/series-i/rangers-vs-redwings,3,3,17,4
19501951,1,A,/schedule/playoff-series/1951/series-a/canadiens-vs-redwings,8,4,17,2
19501951,1,B,/schedule/playoff-series/1951/series-b/bruins-vs-mapleleafs,6,1,10,4
19501951,2,I,/schedule/playoff-series/1951/series-i/canadiens-vs-mapleleafs,8,1,10,4
19511952,1,A,/schedule/playoff-series/1952/series-a/mapleleafs-vs-redwings,10,0,17,4
19511952,1,B,/schedule/playoff-series/1952/series-b/bruins-vs-canadiens,6,3,8,4
19511952,2,I,/schedule/playoff-series/1952/series-i/redwings-vs-canadiens,17,4,8,0
19521953,1,A,/schedule/playoff-series/1953/series-a/bruins-vs-redwings,6,4,17,2
19521953,1,B,/schedule/playoff-series/1953/series-b/blackhawks-vs-canadiens,16,3,8,4
19521953,2,I,/schedule/playoff-series/1953/series-i/bruins-vs-canadiens,6,1,8,4
19531954,1,A,/schedule/playoff-series/1954/series-a/mapleleafs-vs-redwings,10,1,17,4
