gameID,second,team_6,team_8
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",50,"8477508,8477956,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475791,8475287,8479325","8473507,8474596,8480068,8474884,8476967,8477476,8477989,8478470,8478915,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",51,"8477508,8477956,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475791,8475287,8479325","8473507,8474596,8480068,8474884,8476967,8477476,8477989,8478470,8478915,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",52,"8477508,8477956,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475791,8475287,8479325","8473507,8474596,8480068,8474884,8476967,8477476,8477989,8478470,8478915,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",53,"8477508,8477956,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475791,8475287,8479325","8473507,8474596,8480068,8474884,8476967,8477476,8477989,8478470,8478915,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",54,"8477508,8477956,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475791,8475287,8479325","8473507,8474596,8480068,8474884,8476967,8477476,8477989,8478470,8478915,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",55,"8477508,8477956,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475791,8475287,8479325","8473507,8474596,8480068,8474884,8476967,8477476,8477989,8478470,8478915,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",56,"8477508,8477956,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475791,8475287,8479325","8473507,8474596,8480068,8474884,8476967,8477476,8477989,8478470,8478915,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",57,"8477508,8477956,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475791,8475287,8479325","8473507,8474596,8480068,8474884,8476967,8477476,8477989,8478470,8478915,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",58,"8477508,8477956,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475791,8475287,8479325","8473507,8474596,8480068,8474884,8476967,8477476,8477989,8478470,8478915,8480018,8476469,8477494"
"1      2021021000
2      2021021000
3      2021021000
4      2021021000
5      2021021000
          ...    
995    2021021211
996    2021021211
997    2021021211
998    2021021211
999    2021021211
Name: gameID, Length: 999, dtype: int64",59,"8477508,8477956,8476422,8476999,8477320,8477931,8478443,8473419,8470638,8475791,8475287,8479325","8473507,8474596,8480068,8474884,8476967,8477476,8477989,8478470,8478915,8480018,8476469,8477494"
