,seasons,bracketLogos,seriesUrls,seriesLetters,playoffRounds,topSeedRanks,topSeedRankAbbrevs,topSeedWins,bottomSeedRanks,bottomSeedRankAbbrevs,bottomSeedWins,winningTeamIds,losingTeamIds,topSeedIDs,bottomSeedIDs
348,1984,,/schedule/playoff-series/1984/series-j/capitals-vs-islanders,J,2,1,D1,4,2,D2,1,2,15,2,15
349,1984,,/schedule/playoff-series/1984/series-k/blues-vs-northstars,K,2,1,D1,4,2,D2,3,31,19,31,19
350,1984,,/schedule/playoff-series/1984/series-l/flames-vs-oilers,L,2,1,D1,4,2,D2,3,22,20,22,20
351,1984,,/schedule/playoff-series/1984/series-m/islanders-vs-canadiens,M,3,4,D4,2,1,D1,4,2,8,8,2
352,1984,,/schedule/playoff-series/1984/series-n/northstars-vs-oilers,N,3,1,D1,4,1,D1,0,22,31,22,31
353,1984,,/schedule/playoff-series/1984/series-o/oilers-vs-islanders,O,4,1,D1,1,1,D1,4,22,2,2,22
354,1985,,/schedule/playoff-series/1985/series-a/bruins-vs-canadiens,A,1,1,D1,3,4,D4,2,8,6,8,6
355,1985,,/schedule/playoff-series/1985/series-b/sabres-vs-nordiques,B,1,2,D2,3,3,D3,2,32,7,32,7
356,1985,,/schedule/playoff-series/1985/series-c/rangers-vs-flyers,C,1,1,D1,3,4,D4,0,4,3,4,3
357,1985,,/schedule/playoff-series/1985/series-d/islanders-vs-capitals,D,1,2,D2,2,3,D3,3,2,15,15,2
358,1985,,/schedule/playoff-series/1985/series-e/northstars-vs-blues,E,1,1,D1,0,4,D4,3,31,19,19,31
359,1985,,/schedule/playoff-series/1985/series-f/redwings-vs-blackhawks,F,1,2,D2,3,3,D3,0,16,17,16,17
360,1985,,/schedule/playoff-series/1985/series-g/kings-vs-oilers,G,1,1,D1,3,4,D4,0,22,26,22,26
361,1985,,/schedule/playoff-series/1985/series-h/flames-vs-jets(1979),H,1,2,D2,3,3,D3,1,33,20,33,20
362,1985,,/schedule/playoff-series/1985/series-i/nordiques-vs-canadiens,I,2,1,D1,3,2,D2,4,32,8,8,32
363,1985,,/schedule/playoff-series/1985/series-j/islanders-vs-flyers,J,2,1,D1,4,3,D3,1,4,2,4,2
364,1985,,/schedule/playoff-series/1985/series-k/northstars-vs-blackhawks,K,2,2,D2,4,4,D4,2,16,31,16,31
365,1985,,/schedule/playoff-series/1985/series-l/jets(1979)-vs-oilers,L,2,1,D1,4,2,D2,0,22,33,22,33
366,1985,,/schedule/playoff-series/1985/series-m/flyers-vs-nordiques,M,3,2,D2,2,1,D1,4,4,32,32,4
367,1985,,/schedule/playoff-series/1985/series-n/blackhawks-vs-oilers,N,3,1,D1,4,2,D2,2,22,16,22,16
368,1985,,/schedule/playoff-series/1985/series-o/oilers-vs-flyers,O,4,1,D1,1,1,D1,4,22,4,4,22
369,1986,,/schedule/playoff-series/1986/series-a/whalers-vs-nordiques,A,1,1,D1,0,4,D4,3,34,32,32,34
370,1986,,/schedule/playoff-series/1986/series-b/bruins-vs-canadiens,B,1,2,D2,3,3,D3,0,8,6,8,6
371,1986,,/schedule/playoff-series/1986/series-c/rangers-vs-flyers,C,1,1,D1,2,4,D4,3,3,4,4,3
372,1986,,/schedule/playoff-series/1986/series-d/islanders-vs-capitals,D,1,2,D2,3,3,D3,0,15,2,15,2
373,1986,,/schedule/playoff-series/1986/series-e/mapleleafs-vs-blackhawks,E,1,1,D1,0,4,D4,3,10,16,16,10
374,1986,,/schedule/playoff-series/1986/series-f/blues-vs-northstars,F,1,2,D2,2,3,D3,3,19,31,31,19
375,1986,,/schedule/playoff-series/1986/series-g/canucks-vs-oilers,G,1,1,D1,3,3,D3,0,22,23,22,23
376,1986,,/schedule/playoff-series/1986/series-h/jets(1979)-vs-flames,H,1,2,D2,3,4,D4,0,20,33,20,33
377,1986,,/schedule/playoff-series/1986/series-i/whalers-vs-canadiens,I,2,2,D2,4,4,D4,3,8,34,8,34
378,1986,,/schedule/playoff-series/1986/series-j/rangers-vs-capitals,J,2,2,D2,2,4,D4,4,3,15,15,3
379,1986,,/schedule/playoff-series/1986/series-k/mapleleafs-vs-blues,K,2,3,D3,4,4,D4,3,19,10,19,10
380,1986,,/schedule/playoff-series/1986/series-l/flames-vs-oilers,L,2,1,D1,3,2,D2,4,20,22,22,20
381,1986,,/schedule/playoff-series/1986/series-m/rangers-vs-canadiens,M,3,2,D2,4,4,D4,1,8,3,8,3
382,1986,,/schedule/playoff-series/1986/series-n/blues-vs-flames,N,3,2,D2,4,3,D3,3,20,19,20,19
383,1986,,/schedule/playoff-series/1986/series-o/canadiens-vs-flames,O,4,2,D2,1,2,D2,4,8,20,20,8
384,1987,,/schedule/playoff-series/1987/series-a/nordiques-vs-whalers,A,1,2,D1,2,4,D4,4,32,34,34,32
385,1987,,/schedule/playoff-series/1987/series-b/bruins-vs-canadiens,B,1,1,D2,4,3,D3,0,8,6,8,6
386,1987,,/schedule/playoff-series/1987/series-c/rangers-vs-flyers,C,1,1,D1,4,4,D4,2,4,3,4,3
387,1987,,/schedule/playoff-series/1987/series-d/islanders-vs-capitals,D,1,2,D2,3,3,D3,4,2,15,15,2
388,1987,,/schedule/playoff-series/1987/series-e/mapleleafs-vs-blues,E,1,2,D1,2,3,D4,4,10,19,19,10
389,1987,,/schedule/playoff-series/1987/series-f/blackhawks-vs-redwings,F,1,1,D2,4,2,D3,0,17,16,17,16
390,1987,,/schedule/playoff-series/1987/series-g/kings-vs-oilers,G,1,1,D1,4,4,D4,1,22,26,22,26
391,1987,,/schedule/playoff-series/1987/series-h/jets(1979)-vs-flames,H,1,2,D2,2,3,D3,4,33,20,20,33
392,1987,,/schedule/playoff-series/1987/series-i/nordiques-vs-canadiens,I,2,1,D2,4,4,D4,3,8,32,8,32
393,1987,,/schedule/playoff-series/1987/series-j/islanders-vs-flyers,J,2,1,D1,4,3,D3,3,4,2,4,2
394,1987,,/schedule/playoff-series/1987/series-k/mapleleafs-vs-redwings,K,2,1,D2,4,3,D4,3,17,10,17,10
395,1987,,/schedule/playoff-series/1987/series-l/jets(1979)-vs-oilers,L,2,1,D1,4,3,D3,0,22,33,22,33
396,1987,,/schedule/playoff-series/1987/series-m/canadiens-vs-flyers,M,3,1,D1,4,1,D2,2,4,8,4,8
397,1987,,/schedule/playoff-series/1987/series-n/redwings-vs-oilers,N,3,1,D1,4,1,D2,1,22,17,22,17
398,1987,,/schedule/playoff-series/1987/series-o/flyers-vs-oilers,O,4,1,D1,4,1,D1,3,22,4,22,4
399,1988,,/schedule/playoff-series/1988/series-a/whalers-vs-canadiens,A,1,1,D1,4,2,D4,2,8,34,8,34
400,1988,,/schedule/playoff-series/1988/series-b/sabres-vs-bruins,B,1,1,D2,4,2,D3,2,6,7,6,7
401,1988,,/schedule/playoff-series/1988/series-c/devils-vs-islanders,C,1,1,D1,2,2,D4,4,1,2,2,1
402,1988,,/schedule/playoff-series/1988/series-d/flyers-vs-capitals,D,1,1,D3,4,2,D2,3,15,4,15,4
403,1988,,/schedule/playoff-series/1988/series-e/mapleleafs-vs-redwings,E,1,1,D1,4,2,D4,2,17,10,17,10
404,1988,,/schedule/playoff-series/1988/series-f/blackhawks-vs-blues,F,1,1,D2,4,2,D3,1,19,16,19,16
405,1988,,/schedule/playoff-series/1988/series-g/kings-vs-flames,G,1,1,D1,4,2,D4,1,20,26,20,26
406,1988,,/schedule/playoff-series/1988/series-h/jets(1979)-vs-oilers,H,1,1,D2,4,2,D3,1,22,33,22,33
407,1988,,/schedule/playoff-series/1988/series-i/bruins-vs-canadiens,I,2,1,D1,1,2,D2,4,6,8,8,6
408,1988,,/schedule/playoff-series/1988/series-j/devils-vs-capitals,J,2,1,D3,3,2,D4,4,1,15,15,1
409,1988,,/schedule/playoff-series/1988/series-k/blues-vs-redwings,K,2,1,D1,4,2,D2,1,17,19,17,19
410,1988,,/schedule/playoff-series/1988/series-l/oilers-vs-flames,L,2,1,D1,0,2,D2,4,22,20,20,22
411,1988,,/schedule/playoff-series/1988/series-m/devils-vs-bruins,M,3,1,D2,4,2,D4,3,6,1,6,1
412,1988,,/schedule/playoff-series/1988/series-n/redwings-vs-oilers,N,3,1,D2,4,2,D1,1,22,17,22,17
413,1988,,/schedule/playoff-series/1988/series-o/bruins-vs-oilers,O,4,1,D2,4,2,D2,0,22,6,22,6
414,1989,,/schedule/playoff-series/1989/series-a/whalers-vs-canadiens,A,1,1,D1,4,2,D4,0,8,34,8,34
415,1989,,/schedule/playoff-series/1989/series-b/sabres-vs-bruins,B,1,1,D2,4,2,D3,1,6,7,6,7
416,1989,,/schedule/playoff-series/1989/series-c/flyers-vs-capitals,C,1,1,D1,2,2,D4,4,4,15,15,4
417,1989,,/schedule/playoff-series/1989/series-d/rangers-vs-penguins,D,1,1,D2,4,2,D3,0,5,3,5,3
418,1989,,/schedule/playoff-series/1989/series-e/blackhawks-vs-redwings,E,1,1,D1,2,2,D4,4,16,17,17,16
419,1989,,/schedule/playoff-series/1989/series-f/northstars-vs-blues,F,1,1,D2,4,2,D3,1,19,31,19,31
420,1989,,/schedule/playoff-series/1989/series-g/canucks-vs-flames,G,1,1,D1,4,2,D4,3,20,23,20,23
421,1989,,/schedule/playoff-series/1989/series-h/oilers-vs-kings,H,1,1,D2,4,2,D3,3,26,22,26,22
422,1989,,/schedule/playoff-series/1989/series-i/bruins-vs-canadiens,I,2,1,D1,4,2,D2,1,8,6,8,6
423,1989,,/schedule/playoff-series/1989/series-j/flyers-vs-penguins,J,2,1,D2,3,2,D4,4,4,5,5,4
424,1989,,/schedule/playoff-series/1989/series-k/blackhawks-vs-blues,K,2,1,D2,1,2,D4,4,16,19,19,16
425,1989,,/schedule/playoff-series/1989/series-l/kings-vs-flames,L,2,1,D1,4,2,D2,0,20,26,20,26
426,1989,,/schedule/playoff-series/1989/series-m/flyers-vs-canadiens,M,3,1,D1,4,2,D4,2,8,4,8,4
427,1989,,/schedule/playoff-series/1989/series-n/blackhawks-vs-flames,N,3,1,D1,4,2,D4,1,20,16,20,16
428,1989,,/schedule/playoff-series/1989/series-o/canadiens-vs-flames,O,4,1,D1,4,2,D1,2,20,8,20,8
429,1990,,/schedule/playoff-series/1990/series-a/whalers-vs-bruins,A,1,1,D1,4,2,D4,3,6,34,6,34
430,1990,,/schedule/playoff-series/1990/series-b/canadiens-vs-sabres,B,1,1,D2,2,2,D3,4,8,7,7,8
431,1990,,/schedule/playoff-series/1990/series-c/islanders-vs-rangers,C,1,1,D1,4,2,D4,1,3,2,3,2
