season,gameId,seriesLetter,seriesLogo,neededToWin,length,awayTeamScore,homeTeamScore,gameCenterLink,seriesStatusTopSeedWins,seriesStatusBottomSeedWins,fullCoverageURL,lastPeriodType
20242025,2024030227,J,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/car-vs-wsh/2025/05/19/2024030227,,,,
20242025,2024030231,K,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,3.0,2.0,/gamecenter/dal-vs-wpg/2025/05/07/2024030231,0.0,1.0,,REG
20242025,2024030232,K,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,0.0,4.0,/gamecenter/dal-vs-wpg/2025/05/09/2024030232,1.0,1.0,,REG
20242025,2024030233,K,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,2.0,5.0,/gamecenter/wpg-vs-dal/2025/05/11/2024030233,1.0,2.0,,REG
20242025,2024030234,K,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/wpg-vs-dal/2025/05/13/2024030234,,,,
20242025,2024030235,K,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/dal-vs-wpg/2025/05/15/2024030235,,,,
20242025,2024030236,K,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/wpg-vs-dal/2025/05/17/2024030236,,,,
20242025,2024030237,K,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/dal-vs-wpg/2025/05/19/2024030237,,,,
20242025,2024030241,L,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4.0,2.0,/gamecenter/edm-vs-vgk/2025/05/06/2024030241,0.0,1.0,,REG
20242025,2024030242,L,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,5.0,4.0,/gamecenter/edm-vs-vgk/2025/05/08/2024030242,0.0,2.0,,OT
20242025,2024030243,L,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,4.0,3.0,/gamecenter/vgk-vs-edm/2025/05/10/2024030243,1.0,2.0,,REG
20242025,2024030244,L,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,0.0,3.0,/gamecenter/vgk-vs-edm/2025/05/12/2024030244,1.0,3.0,,REG
20242025,2024030245,L,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/edm-vs-vgk/2025/05/14/2024030245,,,,
20242025,2024030246,L,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/vgk-vs-edm/2025/05/16/2024030246,,,,
20242025,2024030247,L,https://assets.nhle.com/logos/playoffs/png/stanley_cup_playoffs_secondary_wordmark_dark.png,4,7,,,/gamecenter/edm-vs-vgk/2025/05/18/2024030247,,,,
