gameID,playerId,sweaterNumber,position,pim,toi,evenStrengthShotsAgainst,powerPlayShotsAgainst,shorthandedShotsAgainst,saveShotsAgainst,savePctg,evenStrengthGoalsAgainst,powerPlayGoalsAgainst,shorthandedGoalsAgainst,goalsAgainst,starter,shotsAgainst,saves
2003020520,8462117,35,G,,,,,,,,,,,,False,,
2003020521,8445386,20,G,0.0,58:53,15/17,8/8,2/2,25/27,0.925926,2.0,0.0,0.0,2.0,True,27.0,25.0
2003020521,8468550,32,G,,,,,,,,,,,,False,,
2003020521,8458075,30,G,0.0,59:59,12/13,5/5,2/2,19/20,0.95,1.0,0.0,0.0,1.0,True,20.0,19.0
2003020521,8468481,39,G,,,,,,,,,,,,False,,
2003020522,8466156,35,G,0.0,59:47,20/21,1/1,0/0,21/22,0.954545,1.0,0.0,0.0,1.0,True,22.0,21.0
2003020522,8462047,43,G,,,,,,,,,,,,False,,
2003020522,8467895,33,G,,,,,,,,,,,,False,,
2003020522,8448535,37,G,0.0,59:36,35/37,0/0,2/2,37/39,0.948718,2.0,0.0,0.0,2.0,True,39.0,37.0
2003020523,8464999,30,G,,,,,,,,,,,,False,,
2003020523,8460535,60,G,0.0,60:39,20/20,4/6,0/0,24/26,0.923077,0.0,2.0,0.0,2.0,True,26.0,24.0
2003020523,8460497,1,G,,,,,,,,,,,,False,,
2003020523,8459463,80,G,0.0,60:39,14/14,2/3,2/2,18/19,0.947368,0.0,1.0,0.0,1.0,True,19.0,18.0
2003020524,8451837,31,G,,,,,,,,,,,,False,,
2003020524,8460612,35,G,0.0,60:00,18/21,3/3,0/0,21/24,0.875,3.0,0.0,0.0,3.0,True,24.0,21.0
2003020524,8462055,30,G,0.0,39:01,4/5,1/1,0/0,5/6,0.833333,1.0,0.0,0.0,1.0,False,6.0,5.0
2003020524,8459252,40,G,0.0,20:00,9/11,0/1,0/0,9/12,0.75,2.0,1.0,0.0,3.0,True,12.0,9.0
2003020525,8455710,30,G,,,,,,,,,,,,False,,
2003020525,8457969,35,G,0.0,59:52,18/18,2/2,1/1,21/21,1.0,0.0,0.0,0.0,0.0,True,21.0,21.0
2003020525,8462102,30,G,0.0,58:09,21/21,5/7,0/0,26/28,0.928571,0.0,2.0,0.0,2.0,True,28.0,26.0
2003020525,8467959,31,G,,,,,,,,,,,,False,,
2003020526,8467453,1,G,0.0,59:16,12/13,4/4,2/5,18/22,0.818182,1.0,0.0,3.0,4.0,True,22.0,18.0
2003020526,8457714,29,G,,,,,,,,,,,,False,,
2003020526,8459140,35,G,,,,,,,,,,,,False,,
2003020526,8460715,47,G,0.0,60:00,15/17,1/1,1/1,17/19,0.894737,2.0,0.0,0.0,2.0,True,19.0,17.0
2003020527,8469675,29,G,,,,,,,,,,,,False,,
2003020527,8462044,35,G,0.0,59:08,36/38,1/2,0/0,37/40,0.925,2.0,1.0,0.0,3.0,True,40.0,37.0
2003020527,8466141,1,G,0.0,60:00,31/33,1/1,0/0,32/34,0.941176,2.0,0.0,0.0,2.0,True,34.0,32.0
2003020527,8458615,31,G,,,,,,,,,,,,False,,
2003020528,8447449,33,G,0.0,61:18,19/21,7/8,2/2,28/31,0.903226,2.0,1.0,0.0,3.0,True,31.0,28.0
