teamID,playerID,headshotURLs,firstName,lastName,positionCode,latestGamesPlayed,latestGoals,latestAssists,latestPoints,latestPlusMinus,latestShots,latestShootingPct,latestAvgTOI,latestAvgShifts,latestFOWinPct,latestGS,latestWins,latestLosses,latestTies,latestOTLosses,latestGAA,latestSavePct,latestSA,latestSaves,latestGA,latestSO,latestTOI
8,8478851,https://assets.nhle.com/mugs/nhl/20242025/MTL/8478851.png,Alexandre,Carrier,D,24,0,0,0,,,,,,,21,10,10,0,2,3.037789,0.897281,662,594,69,1,81770
8,8479339,https://assets.nhle.com/mugs/nhl/20242025/MTL/8479339.png,Patrik,Laine,L,55,0,1,1,,,,,,,55,24,24,0,5,3.196503,0.886577,1490,1321,169,2,190333
8,8480018,https://assets.nhle.com/mugs/nhl/20242025/MTL/8480018.png,Nick,Suzuki,C,9,0,0,0,,,,,,,8,2,7,0,0,4.119564,0.872093,258,225,33,0,28838
8,8481540,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481540.png,Cole,Caufield,R,,,,,,,,,,,,,,,,,,,,,,
8,8481593,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481593.png,Jayden,Struble,D,,,,,,,,,,,,,,,,,,,,,,
8,8481618,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481618.png,Alex,Newhook,C,,,,,,,,,,,,,,,,,,,,,,
8,8482087,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482087.png,Kaiden,Guhle,D,,,,,,,,,,,,,,,,,,,,,,
8,8482476,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482476.png,Emil,Heineman,L,,,,,,,,,,,,,,,,,,,,,,
8,8483457,https://assets.nhle.com/mugs/nhl/20242025/MTL/8483457.png,Lane,Hutson,D,,,,,,,,,,,,,,,,,,,,,,
8,8483515,https://assets.nhle.com/mugs/nhl/20242025/MTL/8483515.png,Juraj,Slafkovský,L,,,,,,,,,,,,,,,,,,,,,,
8,8484984,https://assets.nhle.com/mugs/nhl/20242025/MTL/8484984.png,Ivan,Demidov,R,,,,,,,,,,,,,,,,,,,,,,
8,8478470,https://assets.nhle.com/mugs/nhl/20242025/MTL/8478470.png,Sam,Montembeault,G,,,,,,,,,,,,,,,,,,,,,,
8,8445071,https://assets.nhle.com/mugs/nhl/19171918/MTL/8445071.png,Louis,Berlinquette,L,,,,,,,,,,,,,,,,,,,,,,
8,8445571,https://assets.nhle.com/mugs/nhl/19171918/MTL/8445571.png,Bert,Corbeau,D,,,,,,,,,,,,,,,,,,,,,,
8,8445744,https://assets.nhle.com/mugs/nhl/19171918/MTL/8445744.png,Billy,Coutu,D,,,,,,,,,,,,,,,,,,,,,,
8,8446669,https://assets.nhle.com/mugs/nhl/19171918/MTL/8446669.png,Joe,Hall,D,,,,,,,,,,,,,,,,,,,,,,
8,8447289,https://assets.nhle.com/mugs/nhl/19171918/MTL/8447289.png,Newsy,Lalonde,C,,,,,,,,,,,,,,,,,,,,,,
8,8447348,https://assets.nhle.com/mugs/nhl/19171918/MTL/8447348.png,Jack,Laviolette,D,,,,,,,,,,,,,,,,,,,,,,
8,8447594,https://assets.nhle.com/mugs/nhl/19171918/MTL/8447594.png,Joe,Malone,C,,,,,,,,,,,,,,,,,,,,,,
8,8447761,https://assets.nhle.com/mugs/nhl/19171918/MTL/8447761.png,Jack,McDonald,L,,,,,,,,,,,,,,,,,,,,,,
8,8448154,https://assets.nhle.com/mugs/nhl/19171918/MTL/8448154.png,Didier,Pitre,R,,,,,,,,,,,,,,,,,,,,,,
8,8450137,https://assets.nhle.com/mugs/nhl/19171918/MTL/8450137.png,Georges,Vezina,G,,,,,,,,,,,,,,,,,,,,,,
58,8445314,https://assets.nhle.com/mugs/nhl/19191920/TSP/8445314.png,Harry,Cameron,D,,,,,,,,,,,,,,,,,,,,,,
58,8445873,https://assets.nhle.com/mugs/nhl/19191920/TSP/8445873.png,Corb,Denneny,C,,,,,,,,,,,,,,,,,,,,,,
58,8445972,https://assets.nhle.com/mugs/nhl/19191920/TSP/8445972.png,Babe,Dye,R,,,,,,,,,,,,,,,,,,,,,,
58,8446761,https://assets.nhle.com/mugs/nhl/19191920/TSP/8446761.png,Frank,Heffernan,D,,,,,,,,,,,,,,,,,,,,,,
58,8447637,https://assets.nhle.com/mugs/nhl/19191920/TSP/8447637.png,Joe,Matte,D,,,,,,,,,,,,,,,,,,,,,,
58,8448013,https://assets.nhle.com/mugs/nhl/19191920/TSP/8448013.png,Reg,Noble,C,,,,,,,,,,,,,,,,,,,,,,
58,8448212,https://assets.nhle.com/mugs/nhl/19191920/TSP/8448212.png,Goldie,Prodgers,C,,,,,,,,,,,,,,,,,,,,,,
58,8448246,https://assets.nhle.com/mugs/nhl/19191920/TSP/8448246.png,Ken,Randall,R,,,,,,,,,,,,,,,,,,,,,,
58,8448349,https://assets.nhle.com/mugs/nhl/19191920/TSP/8448349.png,Mickey,Roach,C,,,,,,,,,,,,,,,,,,,,,,
58,8449551,https://assets.nhle.com/mugs/nhl/19191920/TSP/8449551.png,Cully,Wilson,R,,,,,,,,,,,,,,,,,,,,,,
58,8449918,https://assets.nhle.com/mugs/nhl/19191920/TSP/8449918.png,Jake,Forbes,G,,,,,,,,,,,,,,,,,,,,,,
58,8450017,https://assets.nhle.com/mugs/nhl/19191920/TSP/8450017.png,Howard,Lockhart,G,,,,,,,,,,,,,,,,,,,,,,
58,8450044,https://assets.nhle.com/mugs/nhl/19191920/TSP/8450044.png,Ivan,Mitchell,G,,,,,,,,,,,,,,,,,,,,,,
7,8475722,https://assets.nhle.com/mugs/nhl/20242025/BUF/8475722.png,Jason,Zucker,L,,,,,,,,,,,,,,,,,,,,,,
7,8477365,https://assets.nhle.com/mugs/nhl/20242025/BUF/8477365.png,Connor,Clifton,D,,,,,,,,,,,,,,,,,,,,,,
7,8477949,https://assets.nhle.com/mugs/nhl/20242025/BUF/8477949.png,Alex,Tuch,R,,,,,,,,,,,,,,,,,,,,,,
7,8478043,https://assets.nhle.com/mugs/nhl/20242025/BUF/8478043.png,Sam,Lafferty,C,,,,,,,,,,,,,,,,,,,,,,
