Game ID,Team ID,Player ID,Number,Position
2024030185,26,8478882,84,D
2024030185,22,8479365,21,C
2024030185,26,8479496,31,G
2024030185,26,8479675,12,L
2024030185,22,8479973,74,G
2024030185,26,8479998,44,D
2024030185,22,8480803,2,D
2024030185,22,8480834,49,D
2024030185,26,8481532,15,C
2024030185,26,8481606,21,D
2024030185,22,8481617,92,R
2024030185,26,8482124,55,R
2024030185,26,8482155,14,R
2024030185,26,8482408,39,L
2024030185,26,8482726,79,C
2024030185,26,8482730,92,D
2024030185,26,8483808,96,L
2024030186,22,8470621,90,R
2024030186,26,8471685,11,C
2024030186,26,8474563,8,D
2024030186,22,8474641,19,C
2024030186,22,8475169,91,L
2024030186,26,8475311,35,G
2024030186,22,8475717,30,G
2024030186,22,8475786,18,L
2024030186,22,8475906,36,D
2024030186,26,8476441,6,D
2024030186,22,8476454,93,C
2024030186,26,8476479,24,C
2024030186,22,8476967,27,D
2024030186,22,8477015,28,R
2024030186,22,8477406,13,C
2024030186,22,8477498,25,D
2024030186,22,8477934,29,C
2024030186,26,8477942,22,L
2024030186,26,8477960,9,R
2024030186,26,8477998,37,L
2024030186,22,8478013,96,D
2024030186,22,8478042,33,L
2024030186,22,8478402,97,C
2024030186,26,8478882,84,D
2024030186,22,8479365,21,C
2024030186,26,8479496,31,G
2024030186,26,8479675,12,L
2024030186,22,8479973,74,G
2024030186,26,8479998,44,D
2024030186,22,8480803,2,D
2024030186,22,8480834,49,D
2024030186,26,8481532,15,C
2024030186,26,8481606,21,D
2024030186,22,8481617,92,R
2024030186,26,8482124,55,R
2024030186,26,8482155,14,R
2024030186,26,8482408,39,L
2024030186,26,8482726,79,C
2024030186,26,8482730,92,D
2024030186,26,8483808,96,L
2024030211,13,8473419,63,L
2024030211,10,8474157,67,L
2024030211,10,8475166,91,C
2024030211,10,8475171,95,D
2024030211,13,8475179,7,D
2024030211,13,8475683,72,G
2024030211,10,8475690,8,D
2024030211,10,8475714,19,C
2024030211,10,8476853,44,D
2024030211,10,8476872,24,C
2024030211,10,8476931,22,D
2024030211,10,8476932,41,G
2024030211,13,8477220,88,D
2024030211,13,8477409,23,C
2024030211,13,8477493,16,C
2024030211,13,8477495,3,D
2024030211,10,8477503,11,C
2024030211,13,8477933,13,C
2024030211,13,8477935,9,C
2024030211,10,8477939,88,R
2024030211,13,8477970,41,G
2024030211,13,8478055,42,D
2024030211,13,8478421,10,L
2024030211,10,8478443,25,D
2024030211,10,8478483,16,R
2024030211,13,8478542,17,C
2024030211,13,8478859,77,D
2024030211,10,8478904,18,C
2024030211,13,8479314,19,L
2024030211,10,8479318,34,C
2024030211,10,8479361,60,G
2024030211,13,8480003,70,C
2024030211,13,8480185,27,C
2024030211,10,8480995,29,R
2024030211,10,8481122,2,D
2024030211,13,8481477,8,C
2024030211,13,8482113,15,C
2024030211,10,8482259,74,C
2024030211,10,8482720,23,L
2024030211,13,8484304,26,D
2024030212,13,8473419,63,L
2024030212,10,8474157,67,L
2024030212,10,8475166,91,C
2024030212,10,8475171,95,D
2024030212,13,8475179,7,D
2024030212,13,8475683,72,G
2024030212,10,8475690,8,D
2024030212,10,8475714,19,C
2024030212,10,8476853,44,D
2024030212,10,8476872,24,C
2024030212,10,8476899,30,G
2024030212,10,8476931,22,D
2024030212,13,8477220,88,D
2024030212,13,8477409,23,C
2024030212,13,8477493,16,C
2024030212,13,8477495,3,D
2024030212,10,8477503,11,C
2024030212,13,8477932,5,D
2024030212,13,8477933,13,C
2024030212,13,8477935,9,C
2024030212,10,8477939,88,R
2024030212,13,8477970,41,G
2024030212,13,8478055,42,D
2024030212,10,8478443,25,D
2024030212,10,8478483,16,R
2024030212,13,8478542,17,C
2024030212,13,8478859,77,D
2024030212,10,8478904,18,C
2024030212,13,8479314,19,L
2024030212,10,8479318,34,C
2024030212,10,8479361,60,G
2024030212,13,8480003,70,C
2024030212,13,8480185,27,C
2024030212,10,8480995,29,R
2024030212,10,8481122,2,D
2024030212,13,8481477,8,C
2024030212,13,8482113,15,C
2024030212,10,8482259,74,C
2024030212,13,8482713,25,R
2024030212,10,8482720,23,L
2024030213,13,8473419,63,L
2024030213,10,8474157,67,L
2024030213,10,8475166,91,C
2024030213,10,8475171,95,D
2024030213,13,8475179,7,D
2024030213,13,8475683,72,G
