Date,Team,Player,Transaction Details
"Dec 2, 2024",Philadelphia Flyers,Helge Grans,Assigned to AHL
"Dec 2, 2024",Colorado Avalanche,Chris Wagner,Recalled from AHL
"Dec 2, 2024",Colorado Avalanche,Nikita Prishchepov,Recalled from AHL
"Dec 2, 2024",Colorado Avalanche,Keaton Middleton,Recalled from AHL
"Dec 2, 2024",Colorado Avalanche,Ivan Ivan,Recalled from AHL
"Dec 2, 2024",Colorado Avalanche,Josh Manson,Placed on IR
"Dec 2, 2024",Carolina Hurricanes,Riley Stillman,Recalled from AHL
"Dec 2, 2024",Carolina Hurricanes,Spencer Martin,Recalled from AHL
"Dec 2, 2024",Calgary Flames,Jakob Pelletier,Recalled from AHL
"Dec 2, 2024",Calgary Flames,Adam Klapka,Assigned to AHL
"Dec 2, 2024",Calgary Flames,Walker Duehr,Recalled from AHL
"Dec 2, 2024",Vegas Golden Knights,Callahan Burke,Assigned to AHL
"Dec 2, 2024",Detroit Red Wings,Sebastian Cossa,Emergency Recall
"Dec 2, 2024",Detroit Red Wings,Alex Lyon,Placed on IR
"Dec 2, 2024",New York Islanders,Marcus Hogberg,Recalled from AHL
"Dec 2, 2024",Toronto Maple Leafs,Marshall Rifai,Recalled from AHL
"Dec 2, 2024",Toronto Maple Leafs,Jani Hakanpää,Placed on IR
"Dec 1, 2024",New Jersey Devils,Nick DeSimone,Recalled from AHL
"Dec 1, 2024",Montreal Canadiens,Rafael Harvey-Pinard,Assigned to AHL
"Dec 1, 2024",Montreal Canadiens,Rafael Harvey-Pinard,Cleared Waivers
"Dec 1, 2024",Carolina Hurricanes,Yaniv Perets,Assigned to AHL
"Dec 1, 2024",Carolina Hurricanes,Spencer Martin,Assigned to AHL
"Dec 1, 2024",Minnesota Wild,David Jiricek,Recalled from AHL
"Dec 1, 2024",Minnesota Wild,Travis Boyd,Assigned to AHL
"Dec 1, 2024",Tampa Bay Lightning,Conor Sheary,Assigned to AHL
"Dec 1, 2024",Columbus Blue Jackets,Mikael Pyyhtia,Recalled from AHL
"Dec 1, 2024",Colorado Avalanche,Ivan Ivan,Assigned to AHL
"Dec 1, 2024",Colorado Avalanche,Chris Wagner,Assigned to AHL
"Dec 1, 2024",Colorado Avalanche,Nikita Prishchepov,Assigned to AHL
"Nov 30, 2024",New Jersey Devils,Nick DeSimone,Assigned to AHL
"Nov 30, 2024",New Jersey Devils,Shane Bowers,Assigned to AHL
"Nov 30, 2024",Seattle Kraken,Mitchell Stephens,Recalled from AHL
"Nov 30, 2024",Seattle Kraken,Vince Dunn,Activated from LTIR
"Nov 30, 2024",Seattle Kraken,Jordan Eberle,Placed on LTIR
"Nov 30, 2024",Utah Hockey Club,Maveric Lamoureux,Placed on IR
"Nov 30, 2024",Minnesota Wild,David Jiricek,Acquired from Colorado Avalanche
"Nov 30, 2024",Minnesota Wild,Daemon Hunt,Traded to Columbus Blue Jackets
"Nov 30, 2024",Columbus Blue Jackets,Daemon Hunt,Acquired from Minnesota Wild
"Nov 30, 2024",Columbus Blue Jackets,David Jiricek,Traded to Minnesota Wild
"Nov 30, 2024",Toronto Maple Leafs,Matthew Knies,Activated from IR
"Nov 30, 2024",Toronto Maple Leafs,Auston Matthews,Activated from IR
"Nov 30, 2024",Toronto Maple Leafs,Bobby McMann,Placed on IR
"Nov 30, 2024",Toronto Maple Leafs,Alex Steeves,Assigned to AHL
"Nov 30, 2024",Carolina Hurricanes,Ty Smith,Assigned to AHL
"Nov 30, 2024",Tampa Bay Lightning,Conor Sheary,Recalled from AHL
"Nov 30, 2024",Tampa Bay Lightning,Matt Tomkins,Assigned to AHL
"Nov 30, 2024",Anaheim Ducks,Tyson Hinds,Assigned to AHL
"Nov 30, 2024",Buffalo Sabres,Tyson Kozak,Recalled from AHL
"Nov 30, 2024",Montreal Canadiens,Rafael Harvey-Pinard,Placed on Waivers
"Nov 30, 2024",Montreal Canadiens,Rafael Harvey-Pinard,Activated from LTIR
"Nov 30, 2024",Columbus Blue Jackets,Jet Greaves,Assigned to AHL
"Nov 30, 2024",Colorado Avalanche,Nikita Prishchepov,Recalled from AHL
"Nov 30, 2024",Colorado Avalanche,Chase Bradley,Assigned to AHL
"Nov 30, 2024",Columbus Blue Jackets,Joseph LaBate,Assigned to AHL
"Nov 30, 2024",Columbus Blue Jackets,Joseph LaBate,Cleared Waivers
"Nov 30, 2024",Utah Hockey Club,Maksymilian Szuber,Recalled from AHL
"Nov 30, 2024",Nashville Predators,Justus Annunen,Acquired from Colorado Avalanche
"Nov 30, 2024",Nashville Predators,Scott Wedgewood,Traded to Colorado Avalanche
"Nov 30, 2024",Colorado Avalanche,Scott Wedgewood,Acquired from Nashville Predators
"Nov 30, 2024",Colorado Avalanche,Justus Annunen,Traded to Nashville Predators
"Nov 29, 2024",St. Louis Blues,Corey Schueneman,Assigned to AHL
"Nov 29, 2024",Winnipeg Jets,Logan Stanley,Activated from IR
"Nov 29, 2024",Los Angeles Kings,Akil Thomas,Placed on IR
"Nov 29, 2024",St. Louis Blues,Philip Broberg,Activated from IR
"Nov 29, 2024",Vegas Golden Knights,Mason Morelli,Assigned to AHL
"Nov 29, 2024",Vegas Golden Knights,Robert Hagg,Assigned to AHL
"Nov 29, 2024",Vegas Golden Knights,Victor Olofsson,Recalled from AHL
"Nov 29, 2024",Vegas Golden Knights,Callahan Burke,Recalled from AHL
"Nov 29, 2024",Columbus Blue Jackets,Joseph LaBate,Placed on Waivers
"Nov 29, 2024",Columbus Blue Jackets,Joseph LaBate,Signed 1 year @ $775K AAV starting in 2024-25
"Nov 29, 2024",Calgary Flames,Ilya Nikolaev,Cleared Waivers
"Nov 29, 2024",Dallas Stars,Alexander Petrovic,Recalled from AHL
"Nov 29, 2024",Tampa Bay Lightning,Matt Tomkins,Recalled from AHL
"Nov 29, 2024",Boston Bruins,Jordan Oesterle,Recalled from AHL
"Nov 29, 2024",Boston Bruins,Marc McLaughlin,Recalled from AHL
"Nov 29, 2024",Los Angeles Kings,Andre Lee,Recalled from AHL
"Nov 29, 2024",Detroit Red Wings,Ville Husso,Recalled from AHL
"Nov 29, 2024",Detroit Red Wings,Marco Kasper,Recalled from AHL
"Nov 29, 2024",Columbus Blue Jackets,Jet Greaves,Recalled from AHL
"Nov 29, 2024",Carolina Hurricanes,Yaniv Perets,Recalled from AHL
"Nov 29, 2024",Carolina Hurricanes,Spencer Martin,Recalled from AHL
"Nov 29, 2024",Edmonton Oilers,Drake Caggiula,Recalled from AHL
"Nov 28, 2024",San Jose Sharks,Barclay Goodrow,Placed on IR
"Nov 28, 2024",Carolina Hurricanes,Ty Smith,Recalled from AHL
"Nov 28, 2024",Vegas Golden Knights,Callahan Burke,Assigned to AHL
"Nov 28, 2024",Detroit Red Wings,Ville Husso,Assigned to AHL
"Nov 28, 2024",Detroit Red Wings,Marco Kasper,Assigned to AHL
"Nov 28, 2024",Vancouver Canucks,Mark Friedman,Recalled from AHL
"Nov 28, 2024",Vancouver Canucks,Arshdeep Bains,Assigned to AHL
"Nov 28, 2024",Boston Bruins,Marc McLaughlin,Assigned to AHL
"Nov 28, 2024",Boston Bruins,Jordan Oesterle,Assigned to AHL
"Nov 28, 2024",Calgary Flames,Ilya Nikolaev,Placed on Waivers
"Nov 28, 2024",San Jose Sharks,Ethan Cardwell,Recalled from AHL
"Nov 28, 2024",Seattle Kraken,Ryan Winterton,Recalled from AHL
"Nov 28, 2024",New Jersey Devils,Timo Meier,Suspension Ended
"Nov 28, 2024",New Jersey Devils,Nolan Foote,Assigned to AHL
"Nov 28, 2024",Carolina Hurricanes,Yaniv Perets,Assigned to AHL
"Nov 28, 2024",Carolina Hurricanes,Spencer Martin,Assigned to AHL
"Nov 28, 2024",Colorado Avalanche,Chris Wagner,Recalled from AHL
"Nov 28, 2024",Colorado Avalanche,Miles Wood,Placed on IR
"Nov 27, 2024",Buffalo Sabres,Tage Thompson,Activated from IR
"Nov 27, 2024",Pittsburgh Penguins,Blake Lizotte,Activated from IR
"Nov 27, 2024",Pittsburgh Penguins,Valtteri Puustinen,Assigned to AHL
"Nov 27, 2024",Carolina Hurricanes,Riley Stillman,Assigned to AHL
"Nov 27, 2024",Pittsburgh Penguins,Valtteri Puustinen,Cleared Waivers
"Nov 27, 2024",Los Angeles Kings,Jacob Moverare,Recalled from AHL
"Nov 27, 2024",Los Angeles Kings,Samuel Helenius,Recalled from AHL
"Nov 27, 2024",Nashville Predators,Ryder Rolston,Assigned to AHL
"Nov 27, 2024",Nashville Predators,Ryder Rolston,Acquired from Chicago Blackhawks
"Nov 27, 2024",Chicago Blackhawks,Ryder Rolston,Traded to Nashville Predators
"Nov 27, 2024",Detroit Red Wings,Ville Husso,Emergency Recall
"Nov 27, 2024",Nashville Predators,Michael McCarron,Placed on IR
"Nov 27, 2024",Nashville Predators,Adam Wilsby,Recalled from AHL
"Nov 27, 2024",Nashville Predators,Spencer Stastney,Assigned to AHL
"Nov 27, 2024",Nashville Predators,Spencer Stastney,Activated from SOIR.
"Nov 27, 2024",Nashville Predators,Nick Blankenburg,Recalled from AHL
"Nov 27, 2024",Colorado Avalanche,Chase Bradley,Recalled from AHL
"Nov 27, 2024",Colorado Avalanche,Nikolai Kovalenko,Recalled from AHL
"Nov 27, 2024",Colorado Avalanche,Ivan Ivan,Recalled from AHL
"Nov 26, 2024",Seattle Kraken,Jordan Eberle,Placed on IR
"Nov 26, 2024",Buffalo Sabres,Isak Rosen,Assigned to AHL
"Nov 26, 2024",Pittsburgh Penguins,Valtteri Puustinen,Placed on Waivers
"Nov 26, 2024",New Jersey Devils,Timo Meier,Suspension Started
"Nov 26, 2024",Seattle Kraken,Ben Meyers,Assigned to AHL
"Nov 26, 2024",Anaheim Ducks,Tyson Hinds,Recalled from AHL
"Nov 26, 2024",Los Angeles Kings,Jacob Moverare,Assigned to AHL
"Nov 26, 2024",Los Angeles Kings,Samuel Helenius,Assigned to AHL
"Nov 26, 2024",San Jose Sharks,Jack Thompson,Recalled from AHL
"Nov 26, 2024",San Jose Sharks,Yaroslav Askarov,Assigned to AHL
"Nov 26, 2024",New York Rangers,Chad Ruhwedel,Recalled from AHL
"Nov 26, 2024",New York Rangers,Matt Rempe,Assigned to AHL
"Nov 26, 2024",Ottawa Senators,Donovan Sebrango,Recalled from AHL
"Nov 26, 2024",Ottawa Senators,Artem Zub,Placed on LTIR
"Nov 26, 2024",Colorado Avalanche,T.J. Tynan,Assigned to AHL
"Nov 26, 2024",Colorado Avalanche,Nikolai Kovalenko,Assigned to AHL
"Nov 26, 2024",Colorado Avalanche,Ivan Ivan,Assigned to AHL
"Nov 25, 2024",Anaheim Ducks,Brock McGinn,Placed on IR
"Nov 25, 2024",Carolina Hurricanes,Riley Stillman,Recalled from AHL
"Nov 25, 2024",Minnesota Wild,Travis Boyd,Recalled from AHL
"Nov 25, 2024",San Jose Sharks,Nico Sturm,Activated from IR
"Nov 25, 2024",San Jose Sharks,Jack Thompson,Assigned to AHL
"Nov 25, 2024",Anaheim Ducks,Mason McTavish,Activated from IR
"Nov 25, 2024",Vegas Golden Knights,Robert Hagg,Recalled from AHL
"Nov 25, 2024",Vegas Golden Knights,Callahan Burke,Recalled from AHL
"Nov 25, 2024",Vegas Golden Knights,Mason Morelli,Recalled from AHL
"Nov 25, 2024",Ottawa Senators,Cole Reinhardt,Recalled from AHL
"Nov 25, 2024",Ottawa Senators,Zack MacEwen,Assigned to AHL
"Nov 25, 2024",Ottawa Senators,Zack MacEwen,Cleared Waivers
"Nov 25, 2024",Pittsburgh Penguins,Sam Poulin,Assigned to AHL
"Nov 25, 2024",Montreal Canadiens,Lucas Condotta,Assigned to AHL
"Nov 25, 2024",Pittsburgh Penguins,Philip Tomasino,Acquired from Nashville Predators
"Nov 25, 2024",Nashville Predators,Philip Tomasino,Traded to Pittsburgh Penguins
"Nov 25, 2024",Boston Bruins,Jordan Oesterle,Recalled from AHL
"Nov 25, 2024",Boston Bruins,Marc McLaughlin,Recalled from AHL
"Nov 25, 2024",Carolina Hurricanes,Jackson Blake,Recalled from AHL
"Nov 25, 2024",Carolina Hurricanes,Tyson Jost,Assigned to AHL
"Nov 25, 2024",Carolina Hurricanes,Spencer Martin,Recalled from AHL
"Nov 25, 2024",New York Rangers,Matt Rempe,Recalled from AHL
"Nov 25, 2024",Montreal Canadiens,Joshua Roy,Recalled from AHL
"Nov 25, 2024",New Jersey Devils,Shane Bowers,Recalled from AHL
"Nov 25, 2024",New Jersey Devils,Nick DeSimone,Recalled from AHL
"Nov 25, 2024",New Jersey Devils,Nolan Foote,Recalled from AHL
"Nov 24, 2024",Vegas Golden Knights,Callahan Burke,Assigned to AHL
"Nov 24, 2024",Vegas Golden Knights,Mason Morelli,Assigned to AHL
"Nov 24, 2024",New Jersey Devils,Shane Bowers,Assigned to AHL
"Nov 24, 2024",New Jersey Devils,Nick DeSimone,Assigned to AHL
"Nov 24, 2024",New Jersey Devils,Nolan Foote,Assigned to AHL
"Nov 24, 2024",Carolina Hurricanes,Yaniv Perets,Recalled from AHL
"Nov 24, 2024",Carolina Hurricanes,Seth Jarvis,Activated from IR
"Nov 24, 2024",New York Rangers,Brett Berard,Recalled from AHL
"Nov 24, 2024",New York Rangers,Victor Mancini,Assigned to AHL
"Nov 24, 2024",New York Rangers,Chad Ruhwedel,Assigned to AHL
"Nov 24, 2024",Winnipeg Jets,Ville Heinola,Recalled from AHL
"Nov 24, 2024",Winnipeg Jets,Dylan Samberg,Placed on IR
"Nov 24, 2024",Anaheim Ducks,Jansen Harkins,Recalled from AHL
"Nov 24, 2024",Ottawa Senators,Zack MacEwen,Placed on Waivers
"Nov 24, 2024",Detroit Red Wings,Tim Gettinger,Assigned to AHL
"Nov 24, 2024",Detroit Red Wings,Tim Gettinger,Cleared Waivers
"Nov 24, 2024",Carolina Hurricanes,Spencer Martin,Assigned to AHL
"Nov 24, 2024",Los Angeles Kings,Erik Portillo,Recalled from AHL
"Nov 24, 2024",Los Angeles Kings,Pheonix Copley,Assigned to AHL
"Nov 24, 2024",Boston Bruins,Marc McLaughlin,Assigned to AHL
"Nov 24, 2024",Boston Bruins,Jordan Oesterle,Assigned to AHL
"Nov 24, 2024",Carolina Hurricanes,Ty Smith,Assigned to AHL
"Nov 24, 2024",Carolina Hurricanes,Jackson Blake,Assigned to AHL
"Nov 24, 2024",Edmonton Oilers,Drake Caggiula,Assigned to AHL
"Nov 24, 2024",Ottawa Senators,Zack Ostapchuk,Recalled from AHL
"Nov 24, 2024",Edmonton Oilers,Joshua Brown,Assigned to AHL
"Nov 23, 2024",Vegas Golden Knights,Robert Hagg,Assigned to AHL
"Nov 23, 2024",Vegas Golden Knights,Nicolas Hague,Activated from IR
"Nov 23, 2024",Pittsburgh Penguins,Kevin Hayes,Activated from IR
"Nov 23, 2024",Pittsburgh Penguins,Vasily Ponomarev,Assigned to AHL
"Nov 23, 2024",Vegas Golden Knights,Callahan Burke,Recalled from AHL
"Nov 23, 2024",Vegas Golden Knights,Robert Hagg,Recalled from AHL
"Nov 23, 2024",Vegas Golden Knights,Mason Morelli,Recalled from AHL
"Nov 23, 2024",Detroit Red Wings,Tim Gettinger,Placed on Waivers
"Nov 23, 2024",Carolina Hurricanes,Spencer Martin,Recalled from AHL
"Nov 23, 2024",Carolina Hurricanes,Jackson Blake,Recalled from AHL
"Nov 23, 2024",Anaheim Ducks,Jansen Harkins,Assigned to AHL
"Nov 23, 2024",Philadelphia Flyers,Cam York,Activated from IR
"Nov 23, 2024",Philadelphia Flyers,Anthony Richard,Assigned to AHL
"Nov 23, 2024",Los Angeles Kings,Erik Portillo,Assigned to AHL
"Nov 23, 2024",Los Angeles Kings,Pheonix Copley,Recalled from AHL
"Nov 23, 2024",Nashville Predators,Fedor Svechkov,Recalled from AHL
"Nov 23, 2024",Nashville Predators,Adam Wilsby,Assigned to AHL
"Nov 22, 2024",Vegas Golden Knights,Callahan Burke,Assigned to AHL
"Nov 22, 2024",Vegas Golden Knights,Robert Hagg,Assigned to AHL
"Nov 22, 2024",Vegas Golden Knights,Mason Morelli,Assigned to AHL
"Nov 22, 2024",Minnesota Wild,Travis Boyd,Emergency Recall
"Nov 22, 2024",Toronto Maple Leafs,Alex Nylander,Recalled from AHL
"Nov 22, 2024",Toronto Maple Leafs,Alex Nylander,Signed 1 year @ $775K AAV starting in 2024-25
"Nov 22, 2024",Toronto Maple Leafs,Matthew Knies,Placed on IR
"Nov 22, 2024",New York Rangers,Jake Leschyshyn,Assigned to AHL
"Nov 22, 2024",Carolina Hurricanes,Spencer Martin,Assigned to AHL
"Nov 22, 2024",Carolina Hurricanes,Jackson Blake,Assigned to AHL
"Nov 22, 2024",New York Rangers,Victor Mancini,Recalled from AHL
"Nov 22, 2024",Nashville Predators,Adam Wilsby,Recalled from AHL
"Nov 22, 2024",Boston Bruins,Marc McLaughlin,Recalled from AHL
"Nov 22, 2024",Boston Bruins,Georgii Merkulov,Assigned to AHL
"Nov 22, 2024",Vegas Golden Knights,Brett Howden,Signed 5 years @ $2.500M AAV starting in 2025-26
"Nov 22, 2024",Colorado Avalanche,T.J. Tynan,Recalled from AHL
"Nov 22, 2024",Colorado Avalanche,Kevin Mandolese,Assigned to AHL
"Nov 21, 2024",Buffalo Sabres,Jordan Greenway,Placed on IR
"Nov 21, 2024",Vegas Golden Knights,Robert Hagg,Recalled from AHL
"Nov 21, 2024",Edmonton Oilers,Viktor Arvidsson,Placed on IR
"Nov 21, 2024",Edmonton Oilers,Joshua Brown,Recalled from AHL
"Nov 21, 2024",Colorado Avalanche,Alexandar Georgiev,Activated from IR
"Nov 21, 2024",Colorado Avalanche,T.J. Tynan,Assigned to AHL
"Nov 21, 2024",Vancouver Canucks,Max Sasson,Recalled from AHL
"Nov 21, 2024",Vancouver Canucks,Jonathan Lekkerimäki,Assigned to AHL
"Nov 21, 2024",Edmonton Oilers,Drake Caggiula,Recalled from AHL
"Nov 20, 2024",New York Islanders,Travis Mitchell,Assigned to AHL
"Nov 20, 2024",Utah Hockey Club,Connor Ingram,Placed on IR
"Nov 20, 2024",Edmonton Oilers,Joshua Brown,Assigned to AHL
"Nov 20, 2024",Boston Bruins,Jeffrey Viel,Assigned to AHL
"Nov 20, 2024",Chicago Blackhawks,Drew Commesso,Assigned to AHL
"Nov 20, 2024",Nashville Predators,Adam Wilsby,Assigned to AHL
"Nov 20, 2024",Vegas Golden Knights,Jonas Rondbjerg,Assigned to AHL
"Nov 20, 2024",Toronto Maple Leafs,Nikita Grebenkin,Recalled from AHL
"Nov 20, 2024",Toronto Maple Leafs,David Kampf,Placed on LTIR
"Nov 20, 2024",Anaheim Ducks,Tyson Hinds,Assigned to AHL
"Nov 20, 2024",Boston Bruins,Jeffrey Viel,Recalled from AHL
"Nov 20, 2024",Boston Bruins,Georgii Merkulov,Recalled from AHL
"Nov 20, 2024",Columbus Blue Jackets,Kent Johnson,Activated from IR
"Nov 20, 2024",Columbus Blue Jackets,David Jiricek,Assigned to AHL
"Nov 20, 2024",Columbus Blue Jackets,Mikael Pyyhtia,Assigned to AHL
"Nov 20, 2024",Utah Hockey Club,Jaxson Stauber,Recalled from AHL
"Nov 20, 2024",Washington Capitals,Ivan Miroshnichenko,Recalled from AHL
"Nov 20, 2024",Washington Capitals,Alex Ovechkin,Placed on IR
"Nov 20, 2024",Washington Capitals,Sonny Milano,Placed on LTIR
"Nov 20, 2024",Toronto Maple Leafs,Max Domi,Placed on IR
"Nov 19, 2024",Minnesota Wild,Yakov Trenin,Placed on IR
"Nov 19, 2024",Vancouver Canucks,J.T. Miller,Placed on IR
"Nov 19, 2024",Edmonton Oilers,Kasperi Kapanen,Claimed on Waivers from St. Louis Blues
"Nov 19, 2024",Detroit Red Wings,William Lagesson,Assigned to AHL
"Nov 19, 2024",Boston Bruins,Jeffrey Viel,Assigned to AHL
"Nov 19, 2024",Boston Bruins,Georgii Merkulov,Assigned to AHL
"Nov 19, 2024",Toronto Maple Leafs,Max Pacioretty,Placed on LTIR
"Nov 19, 2024",Vegas Golden Knights,Callahan Burke,Recalled from AHL
"Nov 19, 2024",Vegas Golden Knights,Ben Hutton,Placed on LTIR
"Nov 19, 2024",Vegas Golden Knights,Mason Morelli,Recalled from AHL
"Nov 19, 2024",Vegas Golden Knights,Jonas Rondbjerg,Recalled from AHL
"Nov 19, 2024",Vegas Golden Knights,Mark Stone,Placed on IR
"Nov 19, 2024",Chicago Blackhawks,Drew Commesso,Recalled from AHL
"Nov 19, 2024",Vancouver Canucks,Arshdeep Bains,Recalled from AHL
"Nov 19, 2024",Vancouver Canucks,Elias Pettersson,Assigned to AHL
"Nov 19, 2024",St. Louis Blues,Robert Thomas,Activated from IR
"Nov 19, 2024",St. Louis Blues,Kasperi Kapanen,Lost on Waivers to Edmonton Oilers
"Nov 19, 2024",Anaheim Ducks,Sam Colangelo,Recalled from AHL
"Nov 19, 2024",Calgary Flames,Adam Klapka,Recalled from AHL
"Nov 19, 2024",Carolina Hurricanes,Spencer Martin,Recalled from AHL
"Nov 19, 2024",Carolina Hurricanes,Jackson Blake,Recalled from AHL
"Nov 19, 2024",Tampa Bay Lightning,Gage Goncalves,Recalled from AHL
"Nov 19, 2024",Toronto Maple Leafs,Fraser Minten,Recalled from AHL
"Nov 19, 2024",Toronto Maple Leafs,David Kampf,Placed on IR
"Nov 19, 2024",New Jersey Devils,Simon Nemec,Assigned to AHL
"Nov 19, 2024",New Jersey Devils,Justin Dowling,Recalled from AHL
"Nov 19, 2024",New Jersey Devils,Shane Bowers,Recalled from AHL
"Nov 19, 2024",New Jersey Devils,Nick DeSimone,Recalled from AHL
"Nov 19, 2024",New Jersey Devils,Seamus Casey,Assigned to AHL
"Nov 19, 2024",New Jersey Devils,Nathan Bastian,Placed on LTIR
"Nov 19, 2024",New Jersey Devils,Nolan Foote,Recalled from AHL
"Nov 18, 2024",Vegas Golden Knights,Victor Olofsson,Assigned to AHL for conditioning stint
"Nov 18, 2024",Vegas Golden Knights,Victor Olofsson,Activated from LTIR
"Nov 18, 2024",Anaheim Ducks,Sam Colangelo,Assigned to AHL
"Nov 18, 2024",Detroit Red Wings,Jack Campbell,Assigned to AHL
"Nov 18, 2024",New Jersey Devils,Simon Nemec,Recalled from AHL
"Nov 18, 2024",New Jersey Devils,Curtis Lazar,Placed on IR
"Nov 18, 2024",New Jersey Devils,Seamus Casey,Recalled from AHL
"Nov 18, 2024",Carolina Hurricanes,Spencer Martin,Assigned to AHL
"Nov 18, 2024",Carolina Hurricanes,Jackson Blake,Assigned to AHL
"Nov 18, 2024",Philadelphia Flyers,Helge Grans,Recalled from AHL
"Nov 18, 2024",Winnipeg Jets,Ville Heinola,Assigned to AHL
"Nov 18, 2024",Winnipeg Jets,Ville Heinola,Activated from SOIR.
"Nov 18, 2024",Los Angeles Kings,Jacob Moverare,Recalled from AHL
"Nov 18, 2024",Los Angeles Kings,Samuel Helenius,Recalled from AHL
"Nov 18, 2024",St. Louis Blues,Kasperi Kapanen,Placed on Waivers
"Nov 18, 2024",Detroit Red Wings,Jack Campbell,Cleared Waivers
"Nov 18, 2024",San Jose Sharks,Yaroslav Askarov,Recalled from AHL
"Nov 18, 2024",San Jose Sharks,Nico Sturm,Placed on IR
"Nov 18, 2024",Buffalo Sabres,Isak Rosen,Recalled from AHL
"Nov 18, 2024",Buffalo Sabres,Devon Levi,Assigned to AHL
"Nov 18, 2024",Detroit Red Wings,William Lagesson,Recalled from AHL
"Nov 18, 2024",Boston Bruins,Jeffrey Viel,Recalled from AHL
"Nov 18, 2024",Minnesota Wild,Devin Shore,Recalled from AHL
"Nov 18, 2024",Minnesota Wild,Ben Jones,Recalled from AHL
"Nov 17, 2024",Vancouver Canucks,Elias Pettersson,Recalled from AHL
"Nov 17, 2024",Vancouver Canucks,Derek Forbort,Placed on IR
"Nov 17, 2024",Anaheim Ducks,Mason McTavish,Placed on IR
"Nov 17, 2024",Los Angeles Kings,Jacob Moverare,Assigned to AHL
"Nov 17, 2024",Los Angeles Kings,Samuel Helenius,Assigned to AHL
"Nov 17, 2024",Edmonton Oilers,Joshua Brown,Recalled from AHL
"Nov 17, 2024",Anaheim Ducks,Tyson Hinds,Recalled from AHL
"Nov 17, 2024",Anaheim Ducks,Sam Colangelo,Recalled from AHL
"Nov 17, 2024",Toronto Maple Leafs,Ryan Reaves,Suspension Started
"Nov 17, 2024",Philadelphia Flyers,Samuel Ersson,Placed on IR
"Nov 17, 2024",Minnesota Wild,Michael Milne,Assigned to AHL
"Nov 17, 2024",Minnesota Wild,Liam Ohgren,Assigned to AHL
"Nov 17, 2024",Minnesota Wild,Daemon Hunt,Assigned to AHL
"Nov 17, 2024",Carolina Hurricanes,Yaniv Perets,Assigned to AHL
"Nov 17, 2024",Detroit Red Wings,Jack Campbell,Placed on Waivers
"Nov 17, 2024",Boston Bruins,Riley Tufte,Assigned to AHL
"Nov 17, 2024",Tampa Bay Lightning,Gage Goncalves,Assigned to AHL
"Nov 17, 2024",Colorado Avalanche,Kevin Mandolese,Recalled from AHL
"Nov 17, 2024",Colorado Avalanche,T.J. Tynan,Recalled from AHL
"Nov 17, 2024",Colorado Avalanche,Alexandar Georgiev,Placed on IR
"Nov 17, 2024",New Jersey Devils,Nick DeSimone,Assigned to AHL
"Nov 17, 2024",New Jersey Devils,Justin Dowling,Assigned to AHL
"Nov 16, 2024",Chicago Blackhawks,Louis Crevier,Recalled from AHL
"Nov 16, 2024",Chicago Blackhawks,Seth Jones,Placed on IR
"Nov 16, 2024",Colorado Avalanche,Trent Miner,Assigned to AHL
"Nov 16, 2024",Los Angeles Kings,Alex Turcotte,Activated from IR
"Nov 16, 2024",Los Angeles Kings,Andre Lee,Assigned to AHL
"Nov 16, 2024",Boston Bruins,Hampus Lindholm,Placed on IR
"Nov 16, 2024",Carolina Hurricanes,Seth Jarvis,Placed on IR
"Nov 16, 2024",Seattle Kraken,Ben Meyers,Recalled from AHL
"Nov 16, 2024",New York Rangers,Jake Leschyshyn,Recalled from AHL
"Nov 16, 2024",Calgary Flames,Adam Klapka,Assigned to AHL
"Nov 16, 2024",Boston Bruins,Riley Tufte,Recalled from AHL
"Nov 16, 2024",Boston Bruins,Georgii Merkulov,Recalled from AHL
"Nov 16, 2024",Boston Bruins,Patrick Brown,Assigned to AHL
"Nov 16, 2024",Buffalo Sabres,Jiri Kulich,Recalled from AHL
"Nov 15, 2024",Colorado Avalanche,Chris Wagner,Cleared Waivers
"Nov 15, 2024",Minnesota Wild,Liam Ohgren,Emergency Recall
"Nov 15, 2024",Buffalo Sabres,Tage Thompson,Placed on IR
"Nov 15, 2024",Carolina Hurricanes,Yaniv Perets,Recalled from AHL
"Nov 15, 2024",Pittsburgh Penguins,Matt Nieto,Activated from LTIR
"Nov 15, 2024",Pittsburgh Penguins,Blake Lizotte,Placed on IR
"Nov 15, 2024",Los Angeles Kings,Tanner Jeannot,Suspension Ended
"Nov 15, 2024",Vegas Golden Knights,Brayden McNabb,Signed 3 years @ $3.650M AAV starting in 2025-26
"Nov 15, 2024",Los Angeles Kings,Caleb Jones,Placed on IR
"Nov 15, 2024",Los Angeles Kings,Darcy Kuemper,Placed on IR
"Nov 15, 2024",Los Angeles Kings,Jacob Moverare,Recalled from AHL
"Nov 15, 2024",Los Angeles Kings,Erik Portillo,Emergency Recall
"Nov 15, 2024",Colorado Avalanche,Trent Miner,Recalled from AHL
"Nov 15, 2024",San Jose Sharks,Kasper Halttunen,Assigned to Junior Team
"Nov 15, 2024",Minnesota Wild,Mats Zuccarello,Placed on IR
"Nov 15, 2024",Colorado Avalanche,Chris Wagner,Assigned to AHL
"Nov 15, 2024",St. Louis Blues,Leo Loof,Assigned to AHL
"Nov 15, 2024",St. Louis Blues,Corey Schueneman,Recalled from AHL
