Date,Team,Player,Transaction Details
"Feb 8, 2025",Nashville Predators,Ozzy Wiesblatt,Recalled from AHL
"Feb 8, 2025",Vancouver Canucks,Victor Mancini,Assigned to AHL
"Feb 8, 2025",Vancouver Canucks,Linus Karlsson,Recalled from AHL
"Feb 8, 2025",New Jersey Devils,Simon Nemec,Assigned to AHL
"Feb 8, 2025",New Jersey Devils,Santeri Hatakka,Assigned to AHL
"Feb 8, 2025",New Jersey Devils,Nico Daws,Assigned to AHL
"Feb 8, 2025",Philadelphia Flyers,Anthony Richard,Assigned to AHL
"Feb 8, 2025",San Jose Sharks,Colin White,Assigned to AHL
"Feb 8, 2025",Pittsburgh Penguins,Jesse Puljujarvi,Placed on Waivers
"Feb 8, 2025",Utah Hockey Club,Vladislav Kolyachonok,Placed on Waivers
"Feb 8, 2025",San Jose Sharks,Colin White,Cleared Waivers
"Feb 8, 2025",Philadelphia Flyers,Anthony Richard,Cleared Waivers
"Feb 8, 2025",New Jersey Devils,Santeri Hatakka,Cleared Waivers
"Feb 8, 2025",Colorado Avalanche,Trent Miner,Assigned to AHL
"Feb 7, 2025",Vegas Golden Knights,Akira Schmid,Assigned to AHL
"Feb 7, 2025",Minnesota Wild,Carson Lambos,Assigned to AHL
"Feb 7, 2025",New York Rangers,Dylan Garand,Recalled from AHL
"Feb 7, 2025",Tampa Bay Lightning,Dylan Duke,Recalled from AHL
"Feb 7, 2025",Toronto Maple Leafs,Dakota Mermis,Recalled from AHL
"Feb 7, 2025",Winnipeg Jets,Brad Lambert,Assigned to AHL
"Feb 7, 2025",Winnipeg Jets,Parker Ford,Assigned to AHL
"Feb 7, 2025",Nashville Predators,Mark Friedman,Acquired from Vancouver Canucks
"Feb 7, 2025",Vancouver Canucks,Mark Friedman,Traded to Nashville Predators
"Feb 7, 2025",Buffalo Sabres,Isak Rosen,Assigned to AHL
"Feb 7, 2025",Boston Bruins,Michael Callahan,Recalled from AHL
"Feb 7, 2025",San Jose Sharks,Colin White,Placed on Waivers
"Feb 7, 2025",Philadelphia Flyers,Anthony Richard,Placed on Waivers
"Feb 7, 2025",New Jersey Devils,Santeri Hatakka,Placed on Waivers
"Feb 7, 2025",Tampa Bay Lightning,Brandon Halverson,Cleared Waivers
"Feb 7, 2025",Tampa Bay Lightning,Conor Sheary,Assigned to AHL
"Feb 7, 2025",Pittsburgh Penguins,Emil Bemstrom,Recalled from AHL
"Feb 7, 2025",Boston Bruins,Matthew Poitras,Recalled from AHL
"Feb 7, 2025",St. Louis Blues,Mackenzie MacEachern,Assigned to AHL
"Feb 7, 2025",Philadelphia Flyers,Jacob Gaucher,Assigned to AHL
"Feb 6, 2025",New York Islanders,Hudson Fasching,Activated from IR
"Feb 6, 2025",New York Islanders,Scott Mayfield,Placed on IR
"Feb 6, 2025",Toronto Maple Leafs,Matt Murray,Assigned to AHL
"Feb 6, 2025",Calgary Flames,Dryden Hunt,Recalled from AHL
"Feb 6, 2025",Calgary Flames,Clark Bishop,Assigned to AHL
"Feb 6, 2025",Vegas Golden Knights,Jonas Rondbjerg,Recalled from AHL
"Feb 6, 2025",Vegas Golden Knights,William Karlsson,Placed on LTIR
"Feb 6, 2025",Vegas Golden Knights,Akira Schmid,Recalled from AHL
"Feb 6, 2025",Vegas Golden Knights,Tanner Pearson,Placed on IR
"Feb 6, 2025",Edmonton Oilers,Noah Philp,Assigned to AHL
"Feb 6, 2025",Vegas Golden Knights,Alexander Holtz,Recalled from AHL
"Feb 6, 2025",Nashville Predators,Joakim Kemell,Recalled from AHL
"Feb 6, 2025",Boston Bruins,Michael Callahan,Assigned to AHL
"Feb 6, 2025",Boston Bruins,Matthew Poitras,Assigned to AHL
"Feb 6, 2025",New Jersey Devils,Nico Daws,Recalled from AHL
"Feb 6, 2025",Toronto Maple Leafs,Anthony Stolarz,Activated from LTIR
"Feb 6, 2025",Tampa Bay Lightning,Brandon Halverson,Placed on Waivers
"Feb 6, 2025",New Jersey Devils,Simon Nemec,Recalled from AHL
"Feb 6, 2025",New Jersey Devils,Nico Hischier,Placed on IR
"Feb 5, 2025",Minnesota Wild,Jakub Lauko,Placed on IR
"Feb 5, 2025",Toronto Maple Leafs,Dakota Mermis,Recalled from AHL
"Feb 5, 2025",Vegas Golden Knights,Raphael Lavoie,Assigned to AHL
"Feb 5, 2025",Vegas Golden Knights,Alexander Holtz,Assigned to AHL
"Feb 5, 2025",Chicago Blackhawks,Colton Dach,Assigned to AHL
"Feb 5, 2025",Chicago Blackhawks,Artyom Levshunov,Assigned to AHL
"Feb 5, 2025",St. Louis Blues,Mackenzie MacEachern,Recalled from AHL
"Feb 5, 2025",St. Louis Blues,Matthew Kessel,Assigned to AHL
