team_id,team_tricode,season,forwards,defensemen,goalies
19,STL,19961997,"[8458542, 8455919, 8446167, 8446205, 8459648, 8448091, 8459044, 8448764, 8448754, 8449020, 8449295, 8459514, 8449669, 8449751, 8449894, 8457640, 8457646, 8450293, 8458946, 8462826, 8451991, 8452019, 8459686, 8462824, 8452685]","[8445266, 8445428, 8459469, 8458585, 8448960, 8457264, 8459690, 8457661, 8459424, 8459484, 8452556, 8462244]","[8446011, 8446991]"
19,STL,19971998,"[8455479, 8458542, 8446125, 8455919, 8446205, 8459648, 8456156, 8448091, 8458686, 8449751, 8457646, 8450357, 8459223, 8451994, 8451991, 8452019, 8452557, 8462824]","[8445428, 8446494, 8447187, 8448960, 8457264, 8457661, 8450486, 8459424, 8459484, 8462244]","[8446991, 8458562, 8465962]"
19,STL,19981999,"[8455479, 8466437, 8458542, 8446125, 8455919, 8446205, 8459648, 8456156, 8462129, 8462077, 8459514, 8460733, 8457646, 8450357, 8464967, 8459223, 8451991, 8452019, 8452557, 8452569]","[8445428, 8446826, 8459469, 8447187, 8459406, 8448960, 8457264, 8457661, 8450486, 8459424, 8459484, 8451305]","[8458968, 8446991, 8462161, 8458562, 8465962]"
19,STL,19992000,"[8466437, 8445281, 8462239, 8458542, 8446125, 8455919, 8446205, 8459648, 8456156, 8462129, 8462077, 8448489, 8459514, 8466304, 8460733, 8457646, 8464967, 8459223, 8450825, 8451991, 8452557, 8452569]","[8445428, 8446626, 8446826, 8459406, 8448960, 8457264, 8457661, 8450486, 8459424, 8457783]","[8458562, 8458266]"
19,STL,20002001,"[8466437, 8459615, 8455919, 8465179, 8459648, 8456106, 8456156, 8462129, 8462077, 8465207, 8459514, 8449545, 8466304, 8460733, 8464967, 8459223, 8458036, 8458943, 8458229, 8451991, 8452569]","[8445428, 8459487, 8468448, 8446826, 8447363, 8456595, 8468105, 8448960, 8462220, 8459424, 8457783, 8451059, 8460626, 8467958, 8459074, 8467350]","[8462161, 8458266]"
19,STL,20012002,"[8459615, 8465179, 8459648, 8456087, 8456106, 8456156, 8446823, 8448415, 8465207, 8459514, 8449545, 8460733, 8467372, 8457704, 8468466, 8458943, 8458229, 8465977, 8458361, 8452569]","[8445428, 8446826, 8456595, 8467890, 8468105, 8462073, 8448960, 8450389, 8459424, 8460626, 8467350]","[8459252, 8468741, 8462161]"
19,STL,20022003,"[8459615, 8458969, 8469696, 8465179, 8459648, 8456106, 8456121, 8456156, 8460527, 8465207, 8460484, 8459514, 8449545, 8460733, 8460588, 8467372, 8457704, 8458534, 8470549, 8458943, 8458229, 8465977, 8458361]","[8467348, 8446826, 8467890, 8468105, 8470303, 8462073, 8448960, 8459424, 8460626, 8467350, 8467408]","[8445275, 8459252, 8468741, 8462161, 8458568, 8467830, 8468166]"
19,STL,20032004,"[8459615, 8469696, 8468615, 8459648, 8456106, 8467337, 8460527, 8465207, 8460484, 8459514, 8460575, 8449545, 8460588, 8457646, 8467565, 8459223, 8468466, 8458682, 8470549, 8451359, 8458229, 8458361, 8468158]","[8467348, 8445266, 8458600, 8446826, 8467890, 8468105, 8462073, 8448960, 8466236, 8459424, 8460626, 8468617, 8467408, 8452353]","[8468741, 8462161, 8458568]"
19,STL,20052006,"[8459615, 8465067, 8469696, 8468584, 8465992, 8456106, 8468770, 8470330, 8468094, 8470004, 8460527, 8459514, 8458536, 8469508, 8462136, 8468466, 8470549, 8469486, 8451359, 8470740, 8458229, 8458361, 8465056, 8452569, 8467937]","[8467348, 8466142, 8469795, 8467890, 8458838, 8466995, 8460626, 8468617, 8467408, 8452353, 8469770, 8469480]","[8469479, 8468741, 8459579, 8468166]"
19,STL,20062007,"[8470655, 8468504, 8469696, 8456106, 8462041, 8470330, 8456464, 8465175, 8460527, 8470294, 8459514, 8469508, 8462823, 8466210, 8469584, 8458534, 8470549, 8470740, 8458229, 8458361]","[8467348, 8466142, 8467890, 8462045, 8469689, 8471392, 8459484, 8460626, 8467408, 8469770, 8469480]","[8469479, 8459308, 8468166, 8471230]"
