playerID,seasonAssists,seasonGameTypeId,seasonGamesPlayed,seasonGoals,seasonLeagueAbbrev,seasonPIM,seasonPoints,seasonSeason,seasonTeamName,seasonWins,seasonLosses,seasonGAA,seasonSavePct,seasonOTLosses,seasonShotsAgainst,seasonShutouts,seasonGoalsAgainst,seasonTimeOnIce,seasonTies
8484166,1,2,2,2,EHF 18U Elite,2,3,20192020,Top Gun/NE Prep 18U AAA,,,,,,,,,,
8484166,18,2,49,18,USHL,22,36,20202021,Chicago Steel,,,,,,,,,,
8484166,1,3,8,8,USHL,2,9,20202021,Chicago Steel,,,,,,,,,,
8484166,37,2,54,37,USHL,93,74,20212022,Chicago Steel,,,,,,,,,,
8484166,5,2,4,1,WJC-18,0,6,20212022,Canada U18,,,,,,,,,,
8484166,1,3,3,0,USHL,2,1,20212022,Chicago Steel,,,,,,,,,,
8484166,35,2,36,30,NCAA,67,65,20222023,Univ. of Michigan,,,,,,,,,,
8484166,2,2,10,1,WC,29,3,20222023,Canada,,,,,,,,,,
8484166,3,2,7,2,WJC-20,2,5,20222023,Canada U20,,,,,,,,,,
8484166,15,2,49,12,NHL,16,27,20232024,Columbus Blue Jackets,,,,,,,,,,
8484166,23,2,82,31,NHL,18,54,20242025,Columbus Blue Jackets,,,,,,,,,,
8484173,0,2,6,0,Brick Invitational,2,0,20142015,Montréal Ice Storm,,,,,,,,,,
8484173,0,2,2,0,LHPS M15 Majeur,2,0,20162017,Collège St-Bernard M15 D1 R,,,,,,,,,,
8484173,10,2,26,9,LHPS M15 Majeur,18,19,20172018,Collège St-Bernard M15 D1 R,,,,,,,,,,
8484173,8,3,6,4,LHPS M15 Majeur,8,12,20172018,Collège St-Bernard M15 D1 R,,,,,,,,,,
8484173,12,2,30,8,QBAAA,14,20,20182019,Bois-Francs Cascades M15 AAA E,,,,,,,,,,
8484173,0,2,1,0,QMEAA,0,0,20192020,Marie-Rivier Canimex M17 AAA,,,,,,,,,,
8484173,27,2,23,13,QBAAA,22,40,20192020,Bois-Francs Cascades M15 AAA E,,,,,,,,,,
8484173,21,2,65,18,QMJHL,40,39,20212022,Sherbrooke Phoenix,,,,,,,,,,
8484173,3,3,11,1,QMJHL,10,4,20212022,Sherbrooke Phoenix,,,,,,,,,,
8484173,39,2,66,30,QMJHL,47,69,20222023,Sherbrooke Phoenix,,,,,,,,,,
8484173,1,2,5,6,Hlinka Gretzky Cup,4,7,20222023,Canada U18,,,,,,,,,,
8484173,7,3,11,4,QMJHL,14,11,20222023,Sherbrooke Phoenix,,,,,,,,,,
8484173,35,2,64,36,QMJHL,42,71,20232024,Drummondville Voltigeurs,,,,,,,,,,
8484173,1,2,3,0,Memorial Cup,0,1,20232024,Drummondville Voltigeurs,,,,,,,,,,
8484173,11,3,19,14,QMJHL,4,25,20232024,Drummondville Voltigeurs,,,,,,,,,,
8484173,0,2,3,0,AHL,2,0,20242025,Syracuse Crunch,,,,,,,,,,
8484173,37,2,50,25,QMJHL,26,62,20242025,Drummondville Voltigeurs,,,,,,,,,,
8484173,0,2,5,0,WJC-20,4,0,20242025,Canada U20,,,,,,,,,,
8484173,0,3,1,0,AHL,0,0,20242025,Syracuse Crunch,,,,,,,,,,
