seasonID,playerID,seasonType,statCategory,statValue
19321933,8449850,3,shutouts,2.0
19321933,8450103,3,shutouts,1.0
19321933,8450127,3,goalsAgainstAverage,1.231658
19321933,8449850,3,goalsAgainstAverage,1.574382
19321933,8449787,3,goalsAgainstAverage,1.599836
19321933,8450103,3,goalsAgainstAverage,2.0
19321933,8450009,3,goalsAgainstAverage,2.5
19331934,8449987,2,wins,26.0
19331934,8449787,2,wins,21.0
19331934,8449850,2,wins,21.0
19331934,8449966,2,wins,20.0
19331934,8450009,2,wins,19.0
19331934,8449966,2,shutouts,10.0
19331934,8449850,2,shutouts,8.0
19331934,8449787,2,shutouts,7.0
19331934,8450009,2,shutouts,6.0
19331934,8449861,2,shutouts,5.0
19331934,8449861,2,goalsAgainstAverage,1.46875
19331934,8449966,2,goalsAgainstAverage,1.632787
19331934,8450153,2,goalsAgainstAverage,2.008929
19331934,8449850,2,goalsAgainstAverage,2.069672
19331934,8449787,2,goalsAgainstAverage,2.267559
19331934,8449966,3,wins,6.0
19331934,8449861,3,wins,4.0
19331934,8449987,3,wins,2.0
19331934,8450009,3,wins,1.0
19331934,8449966,3,shutouts,2.0
19331934,8449787,3,shutouts,1.0
19331934,8450009,3,shutouts,1.0
19331934,8449861,3,shutouts,1.0
19331934,8449787,3,goalsAgainstAverage,1.0
19331934,8449966,3,goalsAgainstAverage,1.327597
19331934,8450009,3,goalsAgainstAverage,1.75
19331934,8449850,3,goalsAgainstAverage,1.830896
19331934,8449861,3,goalsAgainstAverage,2.125506
19341935,8449987,2,wins,30.0
19341935,8449850,2,wins,26.0
19341935,8450127,2,wins,26.0
19341935,8449856,2,wins,24.0
19341935,8449861,2,wins,19.0
19341935,8449856,2,shutouts,9.0
19341935,8449850,2,shutouts,8.0
19341935,8449987,2,shutouts,8.0
19341935,8450127,2,shutouts,8.0
19341935,8450103,2,shutouts,4.0
19341935,8449850,2,goalsAgainstAverage,1.795918
19341935,8449856,2,goalsAgainstAverage,1.858586
19341935,8450115,2,goalsAgainstAverage,2.012903
19341935,8449987,2,goalsAgainstAverage,2.252283
19341935,8450127,2,goalsAgainstAverage,2.262626
19341935,8449856,3,wins,5.0
19341935,8449987,3,wins,3.0
19341935,8450009,3,wins,1.0
19341935,8450127,3,wins,1.0
19341935,8449856,3,shutouts,2.0
19341935,8449987,3,shutouts,2.0
19341935,8449850,3,shutouts,1.0
19341935,8450127,3,shutouts,1.0
19341935,8449850,3,goalsAgainstAverage,0.481799
