teamID,playerID,headshotURLs,firstName,lastName,positionCode,seasonGamesPlayed,seasonGoals,seasonAssists,seasonPoints,seasonPlusMinus,seasonShots,seasonShootingPct,seasonAvgTOI,seasonAvgShifts,seasonFOWinPct,seasonGS,seasonWins,seasonLosses,seasonTies,seasonOTLosses,seasonGAA,seasonSavePct,seasonSA,seasonSaves,seasonGA,seasonSO,seasonTOI
7,8480802,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480802.png,Ryan,McLeod,C,79,20,33,53,13,97,0.206186,1009.6076,23.0,0.523256,,,,,,,,,,,,
7,8480807,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480807.png,Mattias,Samuelsson,D,62,4,10,14,3,52,0.076923,1158.2097,24.7097,0.0,,,,,,,,,,,,
7,8480839,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480839.png,Rasmus,Dahlin,D,73,17,51,68,11,200,0.085,1454.137,28.9315,0.0,,,,,,,,,,,,
7,8480879,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480879.png,Jacob,Bernard-Docker,D,40,2,6,8,5,32,0.0625,816.9,19.5,0.0,,,,,,,,,,,,
7,8481522,https://assets.nhle.com/mugs/nhl/20242025/BUF/8481522.png,Peyton,Krebs,C,81,10,18,28,1,80,0.125,835.9136,19.9012,0.490226,,,,,,,,,,,,
7,8481524,https://assets.nhle.com/mugs/nhl/20242025/BUF/8481524.png,Bowen,Byram,D,82,7,31,38,11,94,0.074468,1361.8293,28.378,0.0,,,,,,,,,,,,
7,8481564,https://assets.nhle.com/mugs/nhl/20242025/BUF/8481564.png,Ryan,Johnson,D,3,0,0,0,-2,3,0.0,1060.0,22.6667,0.0,,,,,,,,,,,,
7,8482097,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482097.png,Jack,Quinn,R,74,15,24,39,-18,123,0.121951,891.7973,19.6622,0.142857,,,,,,,,,,,,
7,8482175,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482175.png,JJ,Peterka,R,77,27,41,68,-1,173,0.156069,1091.039,22.0909,0.166667,,,,,,,,,,,,
7,8482623,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482623.png,Josh,Dunne,C,2,0,0,0,-3,1,0.0,425.5,12.5,0.285714,,,,,,,,,,,,
7,8482671,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482671.png,Owen,Power,D,79,7,33,40,-13,139,0.05036,1278.7089,26.5823,0.0,,,,,,,,,,,,
7,8482765,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482765.png,Isak,Rosen,R,8,0,1,1,-3,8,0.0,578.375,15.125,0.0,,,,,,,,,,,,
7,8482896,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482896.png,Tyson,Kozak,C,21,3,2,5,-2,11,0.272727,629.381,16.6667,0.462069,,,,,,,,,,,,
7,8483468,https://assets.nhle.com/mugs/nhl/20242025/BUF/8483468.png,Jiri,Kulich,C,62,15,9,24,-4,134,0.11194,887.5645,20.8226,0.455197,,,,,,,,,,,,
7,8483500,https://assets.nhle.com/mugs/nhl/20242025/BUF/8483500.png,Noah,Ostlund,C,8,0,0,0,-6,4,0.0,632.5,14.625,0.363636,,,,,,,,,,,,
7,8484145,https://assets.nhle.com/mugs/nhl/20242025/BUF/8484145.png,Zach,Benson,L,75,10,18,28,-2,120,0.083333,889.1067,20.12,0.190476,,,,,,,,,,,,
7,8473503,https://assets.nhle.com/mugs/nhl/20242025/BUF/8473503.png,James,Reimer,G,24,0,0,0,,,,,,,21,10,10,0,2,3.037789,0.897281,662,594,69,1,81770
7,8480045,https://assets.nhle.com/mugs/nhl/20242025/BUF/8480045.png,Ukko-Pekka,Luukkonen,G,55,0,1,1,,,,,,,55,24,24,0,5,3.196503,0.886577,1490,1321,169,2,190333
7,8482221,https://assets.nhle.com/mugs/nhl/20242025/BUF/8482221.png,Devon,Levi,G,9,0,0,0,,,,,,,8,2,7,0,0,4.119564,0.872093,258,225,33,0,28838
2,8474709,https://assets.nhle.com/mugs/nhl/20242025/NYI/8474709.png,Matt,Martin,L,32,0,2,2,-5,17,0.0,512.9375,12.3125,0.533333,,,,,,,,,,,,
2,8475151,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475151.png,Kyle,Palmieri,C,82,24,24,48,-17,169,0.142012,1110.9756,22.561,0.393939,,,,,,,,,,,,
2,8475231,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475231.png,Casey,Cizikas,C,82,7,10,17,-13,97,0.072165,782.439,18.2561,0.551555,,,,,,,,,,,,
2,8475314,https://assets.nhle.com/mugs/nhl/20242025/NYI/8475314.png,Anders,Lee,L,82,29,25,54,3,233,0.124464,1023.622,20.5366,0.444444,,,,,,,,,,,,
